localidad,cp,id_prov_mstr
COLONIA VELEZ,2933.0,6
SPURR,8103.0,6
SPERONI,7163.0,6
SPERATTI,1741.0,6
SOURIGUES,1885.0,6
SOLIS,2764.0,6
SOLANET,7151.0,6
SOLALE,6064.0,6
SOL DE MAYO,7243.0,6
SOL DE MAYO,2709.0,6
SMITH,6531.0,6
SIERRAS BAYAS,7403.0,6
SIERRA DE LOS PADRES,7601.0,6
SIERRA DE LA VENTANA,8168.0,6
SIERRA CHICA,7401.0,6
SIEMPRE VERDE,7609.0,6
SHAW,7316.0,6
SEVIGNE,7101.0,6
SEMINARIO PIO XII,6600.0,6
SEGUROLA,7119.0,6
SAUZALES,6030.0,6
SAUCE GRANDE,8150.0,6
SAUCE CORTO,7540.0,6
SAUCE CHICO,8105.0,6
SATURNO,6417.0,6
SARASA,2721.0,6
SARANDI,1872.0,6
SANTOS UNZUE,6507.0,6
SANTOS LUGARES,1676.0,6
SANTO TOMAS CHICO,6538.0,6
STEGMANN,7536.0,6
SANTO TOMAS,6530.0,6
STROEDER,8508.0,6
SUIPACHA,6612.0,6
TRES ARROYOS,7500.0,6
TRES ALGARROBOS,6231.0,6
TRENQUE LAUQUEN,6400.0,6
TORTUGUITAS,1667.0,6
TORRES,6703.0,6
TORO,1635.0,6
TORNQUIST,8160.0,6
TORDILLO,7101.0,6
TOMAS JOFRE,6601.0,6
TOLDOS VIEJOS,7267.0,6
TODD,2754.0,6
TIO DOMINGO,7163.0,6
TIMOTE,6457.0,6
TIGRE,1648.0,6
THAMES,6343.0,6
TERMAS LOS GAUCHOS,8504.0,6
TENIENTE ORIGONE,8144.0,6
TENIENTE CORONEL MIÑANA,7401.0,6
TEMPERLEY,1834.0,6
TEJO GALETA,7530.0,6
TEDIN URIBURU,7021.0,6
TATAY,6721.0,6
TAPIALES,1770.0,6
TAPALQUE,7303.0,6
TANDIL,7000.0,6
TAMBO NUEVO,2700.0,6
TAMANGUEYU,7633.0,6
TACUARI,2743.0,6
SUNDBLAD,6401.0,6
SUCRE,6708.0,6
TRES CUERVOS,8183.0,6
SANTO DOMINGO,7119.0,6
SANTIAGO GARBARINI,6660.0,6
SANSINENA,6233.0,6
SAN VICENTE,1865.0,6
SAN VALENTIN,7613.0,6
SAN SIMON,7621.0,6
SAN SEVERO,7521.0,6
SAN SEBASTIAN,6623.0,6
SAN ROQUE,6017.0,6
SAN ROMAN,8154.0,6
SAN RAMON DE ANCHORENA,7311.0,6
SAN RAMON,8150.0,6
SAN RAMON,6424.0,6
SAN RAMON,2754.0,6
SAN RAFAEL,7130.0,6
SAN QUILCO,7406.0,6
SAN PEDRO,2930.0,6
SAN PATRICIO,6734.0,6
SAN PASCUAL,7007.0,6
SAN NICOLAS DE LOS ARROYOS,2900.0,6
SAN MIGUEL DEL MORO,7631.0,6
SAN MIGUEL DEL MONTE,7220.0,6
SAN MIGUEL ARCANGEL,8185.0,6
SAN MIGUEL,1663.0,6
SAN MAYOL,7519.0,6
SAN MAURICIO,6239.0,6
SAN MARTIN DE TOURS,8164.0,6
SAN MANUEL,7007.0,6
SAN LAUREANO,7150.0,6
SAN JUSTO,7118.0,6
SAN JUSTO,1754.0,6
SANTA ALICIA,7243.0,6
SANTIAGO LARRE,7245.0,6
SANTA CATALINA,7503.0,6
SANTA CECILIA NORTE,6472.0,6
SANTA TRINIDAD,7541.0,6
SANTA TERESITA PERGAMINO,2701.0,6
SANTA TERESITA,7107.0,6
SANTA TERESA,7163.0,6
SANTA TERESA,2912.0,6
SANTA ROSA DE MINELLONO,7212.0,6
SANTA ROSA,7303.0,6
SANTA ROSA,1888.0,6
SANTA ROSA,1739.0,6
SANTA RITA PDO GUAMINI,6437.0,6
SANTA RITA,2700.0,6
SANTA REGINA,6105.0,6
SANTA MARIA BELLOQ,6535.0,6
SANTA MARIA,6071.0,6
SANTA LUISA,7401.0,6
SANTA LUCIA,2935.0,6
SANTA ISABEL,6550.0,6
SANTA IRENE,7607.0,6
SANTA INES,6471.0,6
SANTA INES,6459.0,6
SANTA FELICIA,7243.0,6
SANTA ELEODORA,6241.0,6
SANTA ELENA,7609.0,6
SANTA ELENA,7414.0,6
SANTA ELENA,6700.0,6
SANTA COLOMA,2761.0,6
SANTA CLEMENTINA,7406.0,6
SANTA CLARA DEL MAR,7609.0,6
SANTA CECILIA SUD,6450.0,6
SANTA CECILIA CENTRO,6463.0,6
TRES LAGUNAS,6443.0,6
TRES LEGUAS,7100.0,6
TRES LOMAS,6409.0,6
VILLA HERMINIA,8101.0,6
VILLA HARDING GREEN,8101.0,6
VILLA GRAL SAVIO EST SANCHEZ,2912.0,6
VILLA GODOY,2700.0,6
VILLA GOBERNADOR UDAONDO,1713.0,6
VILLA GESELL,7165.0,6
VILLA GENERAL ARIAS,8101.0,6
VILLA GALICIA,7000.0,6
VILLA FRANCIA,6706.0,6
VILLA FRANCIA,6058.0,6
VILLA FOX,2800.0,6
VILLA FLORIDA,2800.0,6
VILLA FLORESTA,8000.0,6
VILLA ESPIL,6712.0,6
VILLA ESPAÑA,1884.0,6
VILLA ELISA,1894.0,6
VILLA ELENA,8512.0,6
VILLA DUFAU,7000.0,6
VILLA DOMINICO,1874.0,6
VILLA DOMINGO PRONSATO,8000.0,6
VILLA DIAZ VELEZ,7630.0,6
VILLA DIAMANTINA,6500.0,6
VILLA DEPIETRI,2930.0,6
VILLA DELFINA,8000.0,6
VILLA DEL MAR,8109.0,6
VILLA DE MAYO,1614.0,6
VILLA DAZA,7000.0,6
VILLA DA FONTE,2718.0,6
VILLA COPACABANA,7607.0,6
VILLA IGOLLO,2930.0,6
VILLA CLELIA,7109.0,6
VILLA IRIS,8126.0,6
VILLA ITALIA,8000.0,6
VILLA ORTEGA,6000.0,6
VILLA OLGA GRUMBEIN,8000.0,6
VILLA OBRERA,8000.0,6
VILLA NUMANCIA,1858.0,6
VILLA NOCITO,8000.0,6
VILLA MOSCONI,2800.0,6
VILLA MOQUEHUA,6625.0,6
VILLA MONICA,7318.0,6
VILLA MITRE,8000.0,6
VILLA MAZA,6343.0,6
VILLA MAYOR,6000.0,6
VILLA MASSONI,2800.0,6
VILLA MARTELLI,1603.0,6
VILLA MARIA,6628.0,6
VILLA MARGARITA,8185.0,6
VILLA MAIO,8109.0,6
VILLA LYNCH PUEYRREDON,6553.0,6
VILLA LYNCH,1672.0,6
VILLA LUZURIAGA,1754.0,6
VILLA LORETO,8000.0,6
VILLA LOMA,7203.0,6
VILLA LIBRE,8000.0,6
VILLA LIA,2761.0,6
VILLA LEANDRA,2946.0,6
VILLA LAZA,7000.0,6
VILLA LAURA,8109.0,6
VILLA LA FLORIDA,1881.0,6
VILLA LA CHECHELA,1625.0,6
VILLA JUAREZ,7020.0,6
VILLA ITALIA,7000.0,6
VILLA CERRITO,8000.0,6
VILLA CENTENARIO,2700.0,6
VILLA CASTELAR EST ERIZE,6430.0,6
VELA,7003.0,6
VEDIA,6030.0,6
VECINO,7118.0,6
VASQUEZ,7519.0,6
VAÑA,7301.0,6
VALLIMANCA,6557.0,6
VALERIA DEL MAR,7167.0,6
VALENZUELA ANTON,7630.0,6
VALENTIN GOMEZ,6401.0,6
VALENTIN ALSINA,1822.0,6
VALDEZ,6667.0,6
VAGUES,2764.0,6
URQUIZA,2718.0,6
URIBELARREA,1815.0,6
URDAMPILLETA,6553.0,6
UNIDAD TURISTICA CHAPADMALAL,7609.0,6
UDAQUIOLA,7151.0,6
UBALLES,7301.0,6
TUYUTI,6721.0,6
TURDERA,1834.0,6
TRUJUI,1664.0,6
TROPEZON,6501.0,6
TRONGE,6407.0,6
TRONCOS DEL TALAR,1618.0,6
TRIUNVIRATO,6071.0,6
TRISTAN SUAREZ,1806.0,6
TRIGALES,6053.0,6
TRES SARGENTOS,6727.0,6
TRES PICOS,8162.0,6
VELLOSO,7305.0,6
VENANCIO,8117.0,6
VERGARA,7135.0,6
VERONICA,1917.0,6
VILLA CARUCHA,7505.0,6
VILLA CAROLA,6555.0,6
VILLA CAPDEPONT,2800.0,6
VILLA CACIQUE,7005.0,6
VILLA BURGOS,7203.0,6
VILLA BUIDE,1629.0,6
VILLA BUENOS AIRES,8000.0,6
VILLA BROWN,1888.0,6
VILLA BRANDA,6471.0,6
VILLA BOSCH,1682.0,6
VILLA BELGRANO,6000.0,6
VILLA BALLESTER,1653.0,6
VILLA ASTOLFI,1633.0,6
VILLA ARCADIA,7540.0,6
SAN JULIAN,7613.0,6
VILLA ANGUS,2800.0,6
VILLA AGUEDA,1629.0,6
VILLA ADRIANA,1816.0,6
VILLA ADELINA,1607.0,6
VILLA ADELINA,1605.0,6
VILLA 7 DE MARZO,8504.0,6
VILELA,7208.0,6
VIGELENCIA,6070.0,6
VIEYTES,1915.0,6
VICTORINO DE LA PLAZA,6411.0,6
VICTORIA,1644.0,6
VICENTE PEREDA,7300.0,6
VICENTE LOPEZ,1638.0,6
VICENTE CASARES,1808.0,6
VIBORAS,8180.0,6
VILLA ALDEANITA,6471.0,6
VILLA ORTIZ,6628.0,6
SAN JUAN DE NELSON,6530.0,6
SAN JUAN,6500.0,6
POLVAREDAS,7267.0,6
POCITO,6430.0,6
POBLET,1905.0,6
PLUMACHO,2703.0,6
PLOMER,1733.0,6
PLAZA MONTERO,7201.0,6
PLAYA LAS MARGARITAS,7109.0,6
PLAYA CHAPADMALAL,7609.0,6
PLATANOS,1885.0,6
PLA Y RAGNONI,7607.0,6
PLA,6634.0,6
PIRUCO,2705.0,6
PIROVANO,6551.0,6
PIPINAS,1921.0,6
PINZON,2703.0,6
PIÑEYRO,7540.0,6
PIÑEYRO,1870.0,6
PIÑEIRO,1921.0,6
PINAMAR,7167.0,6
PILLAHUINCO,7530.0,6
PILAR,1629.0,6
PILA,7116.0,6
PIGUE,8170.0,6
PIERINI,7517.0,6
PIERES,7633.0,6
PIEDRITAS,6241.0,6
PIEDRA ANCHA,8117.0,6
PICHINCHA,6051.0,6
PESSAGNO,7135.0,6
PONTAUT,7535.0,6
PERGAMINO,2700.0,6
PONTEVEDRA,1761.0,6
POURTALE,7404.0,6
PUJOL,2907.0,6
PUESTO DEL MEDIO,2763.0,6
PUERTO WASSERMANN,8506.0,6
PUERTO TRES BONETES,8508.0,6
PUERTO ROSALES,8111.0,6
PUERTO NECOCHEA,7641.0,6
PUERTO LA PLATA,1925.0,6
PUERTO GALVAN,8000.0,6
PUERTO DE ESCOBAR,1625.0,6
PUERTO COLOMA,8142.0,6
PUERTO BELGRANO,8111.0,6
PUENTE EL OCHENTA,7225.0,6
PUENTE CASTEX,2760.0,6
PUENTE CAÑETE,2740.0,6
PUENTE BATALLA,6620.0,6
PUEBLO SANTA MARIA,7541.0,6
PUEBLO SAN JOSE,7541.0,6
PUEBLO SAN ESTEBAN,6450.0,6
PUEBLO OTERO,2700.0,6
PUEBLO NUEVO,7400.0,6
PUEBLO NUEVO,6700.0,6
PUEBLO NUEVO,6000.0,6
PUEBLO MARTINEZ DE HOZ,6533.0,6
PUEBLITOS,6661.0,6
PUAN,8180.0,6
PRIMERA JUNTA,6422.0,6
PRESIDENTE QUINTANA,6621.0,6
PRESIDENTE DERQUI,1635.0,6
PRADERE JUAN A,6231.0,6
PORVENIR,6063.0,6
PUNTA ALTA,8109.0,6
PEREZ MILLAN,2933.0,6
PEREYRA,1894.0,6
PARAJE SANTA ANA,7540.0,6
PARAJE MIRAMAR,6550.0,6
PARAJE LA VASCA,7100.0,6
PARAJE LA AURORA,8158.0,6
PARAJE FRA PAL,7530.0,6
PARAG\\u00dcIL,7412.0,6
PARADA TATAY,6725.0,6
PARADA ROBLES,6703.0,6
PARADA KILOMETRO 76,1739.0,6
PARADA KILOMETRO 158,2935.0,6
PAPIN,6411.0,6
PANCHO DIAZ,1921.0,6
PANAME,2931.0,6
PALO BLANCO,1923.0,6
PALMITAS,7221.0,6
PALEMON HUERGO,6628.0,6
PALANTELEN,6434.0,6
PACHAN,7020.0,6
PABLO PODESTA,1657.0,6
PABLO NOGUES,1613.0,6
PABLO ACOSTA,7301.0,6
OTOÑO,7545.0,6
OTAMENDI,2802.0,6
OSTENDE,7167.0,6
ORTIZ DE ROSAS,6660.0,6
ORTIZ BASUALDO,2703.0,6
ORLANDO,2812.0,6
ORIENTE,7509.0,6
ORENSE,7503.0,6
PARAJE SANTA ROSA,2711.0,6
PEREYRA IRAOLA PARQUE,1894.0,6
PARAJE STARACHE,1915.0,6
PARISH,7316.0,6
PEÑAFLOR,7225.0,6
PELLEGRINI,6346.0,6
PELICURA,8117.0,6
PEHUEN CO,8109.0,6
PEHUELCHES,6409.0,6
PEHUAJO,6450.0,6
PEDRO NICOLAS ESCRIBANO,7135.0,6
PEDRO LURO,8148.0,6
PEDRO LASALLE,7515.0,6
PEDRO GAMEN,6451.0,6
PEDERNALES,6665.0,6
PEARSON,2711.0,6
PAZOS KANKI,6058.0,6
PAVON,2812.0,6
PAULA,6557.0,6
PATRICIOS,6503.0,6
PASTEUR,6077.0,6
PASOS,7163.0,6
PASO MAYOR,8115.0,6
PASO DEL REY,1742.0,6
PASO DEL MEDANO,7511.0,6
PASO CRAMER,8134.0,6
PASO ALSINA,8142.0,6
PASMAN,7547.0,6
PARRAVICHINI,7100.0,6
PARQUE TAILLADE,7114.0,6
PARQUE SAN MARTIN,1722.0,6
PARQUE MUÑOZ,7020.0,6
PARQUE CARILO,7167.0,6
PARDO,7212.0,6
PUNTA DE CANAL,1623.0,6
PUNTA INDIO,1917.0,6
PUNTA LARA,1931.0,6
SAN CLEMENTE DEL TUYU,7105.0,6
SAN CAYETANO,7521.0,6
SAN CARLOS,6451.0,6
SAN CALA,7011.0,6
SAN BERNARDO DEL TUYU,7111.0,6
SAN BERNARDO,6561.0,6
SAN BERNARDO,6476.0,6
SAN BENITO,7261.0,6
SAN ANTONIO DE PADUA,1718.0,6
SAN ANTONIO DE ARECO,2760.0,6
SAN ANTONIO,8185.0,6
SAN ANTONIO,7116.0,6
SAN ANDRES DE TAPALQUE,7305.0,6
SAN ANDRES DE GILES,6720.0,6
SAN ANDRES,8180.0,6
SAN ANDRES,6551.0,6
SAN ANDRES,1651.0,6
SAN ALBERTO,7620.0,6
SAN AGUSTIN,7623.0,6
SAN ADOLFO,8142.0,6
SAMBOROMBON,1980.0,6
SALVADOR MARIA,7241.0,6
SALTO,2741.0,6
SALLIQUELO,6339.0,6
SALINAS CHICAS,8134.0,6
SALINA DE PIEDRA,8506.0,6
SALDUNGARAY,8166.0,6
SALAZAR,6471.0,6
SALADILLO NORTE,7261.0,6
SAN CORNELIO,7603.0,6
SALADILLO,7260.0,6
SAN DANIEL,7116.0,6
SAN ELADIO,6601.0,6
SAN JUAN,2754.0,6
SAN JOSE DE OTAMENDI,7601.0,6
SAN JOSE DE LOS QUINTEROS,7109.0,6
SAN JOSE DE GALI,7114.0,6
SAN JOSE,8136.0,6
SAN JOSE,7635.0,6
SAN JOSE,7203.0,6
SAN JOSE,6665.0,6
SAN JOSE,6643.0,6
SAN JOSE,1846.0,6
SAN JORGE,7404.0,6
SAN JACINTO,7400.0,6
SAN JACINTO,6600.0,6
SAN ISIDRO,1642.0,6
SAN IGNACIO,7151.0,6
SAN GERVACIO,7305.0,6
SAN GERMAN,8124.0,6
SAN FRANCISCO SOLANO,1881.0,6
SAN FRANCISCO SOLANO,1846.0,6
SAN FRANCISCO DE BELLOCQ,7505.0,6
SAN FERNANDO,1646.0,6
SAN FERMIN,6417.0,6
SAN FELIPE,7603.0,6
SAN FEDERICO,2711.0,6
SAN ERNESTO,6725.0,6
SAN ENRIQUE,7116.0,6
SAN ENRIQUE,6661.0,6
SAN EMILIO,8136.0,6
SAN EMILIO,6017.0,6
SAN EDUARDO DEL MAR,7607.0,6
SALADA GRANDE,7163.0,6
