localidad,cp,id_prov_mstr
EL RECREO,4139.0,10
EL RECREO,5260.0,10
EL RETIRO,4716.0,10
EL RETIRO,5264.0,10
EL RETIRO,5345.0,10
EL RODEITO,4723.0,10
EL RODEO,4715.0,10
EL REALITO,4715.0,10
EL ROSARIO,4235.0,10
EL RODEO GRANDE,4711.0,10
EL RODEITO,4235.0,10
EL QUIMILO,5263.0,10
EL POZO,4701.0,10
EL QUEBRACHAL,5261.0,10
EL PUESTO,5341.0,10
EL PUESTO,5261.0,10
EL PUESTITO,5261.0,10
EL PUEBLITO,5331.0,10
EL PUCARA,4711.0,10
EL POTRERO DE LOS CORDOBA,4701.0,10
EL POTRERO,5321.0,10
EL POTRERO,4743.0,10
EL POTRERO,5261.0,10
EL ROSARIO,4719.0,10
EL QUEBRACHITO,4235.0,10
EL ROSARIO,5264.0,10
JESUS MARIA,5264.0,10
EL SALTITO,5261.0,10
EL ZAPALLAR,4701.0,10
EL POTRERO,4723.0,10
EL VALLECITO,4701.0,10
EL VALLECITO,4235.0,10
EL VALLECITO,4230.0,10
EL VALLE,5261.0,10
EL TRAPICHE,4139.0,10
EL TOTORAL,4718.0,10
EL TOTORAL,4701.0,10
EL TOLAR,4751.0,10
EL TIO,4751.0,10
EL TESORO,4139.0,10
EL TAMBILLO,4753.0,10
EL TALA,5264.0,10
EL TALA,4715.0,10
EL TALA,4700.0,10
EL TACO,4701.0,10
EL TABIQUE,4711.0,10
EL SUNCHO,5261.0,10
EL SUNCHO,4743.0,10
EL SIMBOL,4234.0,10
EL SAUCECITO,4723.0,10
EL SAUCE IPIZCA,4701.0,10
EL SAUCE,4701.0,10
EL SALTO,5260.0,10
EL SALADILLO,5261.0,10
EL POTRERILLO,4711.0,10
EL CHORRO,4711.0,10
EL PORTEZUELO,4750.0,10
EL DESMONTE,4707.0,10
EL DESMONTE,4139.0,10
EL CONTADOR,4719.0,10
EL COLEGIO,4740.0,10
EL CIFLON,4719.0,10
EL CIENAGO,5261.0,10
EL ZAPALLAR,4741.0,10
EL CHORRO,4701.0,10
EL CHAÑARAL,5261.0,10
EL CHAÑARAL,4701.0,10
EL CHAMICO,4719.0,10
EL DESMONTE,4723.0,10
EL CEVILARCITO,4701.0,10
EL CERRITO,5261.0,10
EL CERRITO,4139.0,10
EL CERCADO,5260.0,10
EL CERCADO,4701.0,10
EL CENTENARIO,4231.0,10
EL CARRIZAL,4751.0,10
EL CARRIZAL,4741.0,10
EL CARRIZAL,4726.0,10
EL CARMEN,4723.0,10
EL CAMPILLO,4751.0,10
EL CALCHAQUI,4139.0,10
EL CEVIL,4716.0,10
EL PORTEZUELO,5261.0,10
EL DURAZNILLO,4722.0,10
EL EJE,4751.0,10
EL POLEAR,5261.0,10
EL POLEAR,4711.0,10
EL PIE DE LA CUESTA,4711.0,10
EL PEÑON,5345.0,10
EL PARQUE,4711.0,10
EL PAJONAL,5315.0,10
EL NOGAL,4711.0,10
EL MORENO,5261.0,10
EL MOLLE,4740.0,10
EL MOLLAR,4701.0,10
EL MOLINO,4750.0,10
EL DURAZNO,4751.0,10
EL MOLINITO,4715.0,10
EL MISTOLITO,5261.0,10
EL MILAGRO,5261.0,10
EL MILAGRO,4726.0,10
EL MEDIO,4750.0,10
EL MEDANITO,4139.0,10
EL LINDERO,5260.0,10
EL LINDERO,4740.0,10
EL HUECO,4707.0,10
EL GARABATO,4716.0,10
EL GACHO,5261.0,10
EL ESPINILLO,4743.0,10
EL MOJON,4701.0,10
EL ZARZO,4139.0,10
HUAYCAMA,4705.0,10
ENSENADA,5266.0,10
TRES PUENTES,4707.0,10
TROYA,5340.0,10
TULA,5264.0,10
TUSCUMAYO,5315.0,10
VALLECITO,5340.0,10
VEGA,5340.0,10
VEGA CURUTU,4705.0,10
VEGA TAMBERIA,4705.0,10
VICUÑA PAMPA,4751.0,10
VILISMAN,4235.0,10
VILLA COLLANTES,4719.0,10
TRAMPASACHA,4728.0,10
VILLA CORONEL ARROYO,4741.0,10
VILLA DOLORES,4707.0,10
VILLA LAS PIRQUITAS,4713.0,10
VILLA MACEDO,4707.0,10
VILLA OFELIA,5260.0,10
VILLA PARQUE CHACABUCO,4700.0,10
VILLA QUINTIN AHUMADA,4715.0,10
VILLA SAN ROQUE,5343.0,10
VILLA SELEME,5331.0,10
VILLA SOTOMAYOR,5260.0,10
VILLA VIL,4751.0,10
VIÑA DEL CERRO,5333.0,10
VILLA CUBAS,4700.0,10
VINQUIS,5340.0,10
TOTORILLA,4139.0,10
TOTORA,5340.0,10
TACAHUASI,4705.0,10
TACANA,4701.0,10
TACO DE ABAJO,4701.0,10
TACOPAMPA,5261.0,10
TAJAMARES,5260.0,10
TALA,4707.0,10
TALA ZAPATA,5340.0,10
TALAGUADA,4718.0,10
TALAMAYO,4750.0,10
TALAR,5265.0,10
TALEGA,4235.0,10
TOTORAL,4701.0,10
TALITA,5340.0,10
TAMBU,5340.0,10
TAPSO,4234.0,10
TATON,5341.0,10
TELARITOS,5263.0,10
TIERRA VERDE,4719.0,10
TINAJERA,5260.0,10
TINOGASTA,5340.0,10
TINTIGASTA,4235.0,10
TIORCO,4707.0,10
TORO MUERTO,4705.0,10
TOROYACO,4139.0,10
TAMBERIA,5340.0,10
EMPALME SAN CARLOS,5260.0,10
VISCOTE,4750.0,10
YAPES,4139.0,10
GUAYAMBA,4235.0,10
GUANCHIN,5340.0,10
GUANCHICITO,5340.0,10
GUANACO,4701.0,10
GENTILE,4705.0,10
GARZON,4231.0,10
GARAY,5261.0,10
GALPON,4715.0,10
FUERTE QUEMADO,4141.0,10
FIAMBALA,5345.0,10
FARALLON NEGRO,4751.0,10
GUINCHO,5340.0,10
FAMATANCA,4139.0,10
FALDEO,4715.0,10
ESTANZUELA,4235.0,10
ESTANQUE,4707.0,10
ESTANCITO,5340.0,10
ESTANCIA VIEJA,4701.0,10
ESTANCIA VIEJA,4139.0,10
ESTANCIA,5265.0,10
ESTACION POMAN,5315.0,10
ESTABLECIMIENTO MINERO CERRO B,5317.0,10
ESQUIU,5261.0,10
ENTRE RIOS,4139.0,10
FAMABALASTRO,4139.0,10
YACOCHUYO,5340.0,10
HIGUERA DEL ALUMBRE,4701.0,10
HUACO,4750.0,10
YAPES,5260.0,10
YAQUICHO,4723.0,10
YERBA BUENA,5265.0,10
YOCAN,4716.0,10
ZANJA,4707.0,10
ZARCITO,4750.0,10
ZARZA,4750.0,10
ISLA LARGA,4711.0,10
IPIZCA,4701.0,10
INFANZON,4235.0,10
INACILLO,4235.0,10
HUACO,4741.0,10
ILOGA,4235.0,10
ICAÑO,5265.0,10
IAPES,4139.0,10
HUMAYA,4711.0,10
HUILLAPIMA,4726.0,10
EL CAJON,4751.0,10
HUASI CIENAGA,4751.0,10
HUASCHASCHI,4740.0,10
HUASAYACO,4751.0,10
HUASAN,4740.0,10
HUALFIN,4751.0,10
HUACRA,4722.0,10
ICHIPUCA,4234.0,10
EL CAJON,4139.0,10
COTAGUA,4751.0,10
EL CACHIYUYO,5341.0,10
BEBIDA,4235.0,10
BAVIANO,5265.0,10
BASTIDOR,4718.0,10
BARRO NEGRO,4718.0,10
BARRANQUITAS,4235.0,10
BARRANCA LARGA,4751.0,10
BAÑOS TERMALES,5345.0,10
BANDA VARELA,4700.0,10
BANDA DE LUCERO,5333.0,10
BANDA,4139.0,10
BAÑADO DE OVANTA,4723.0,10
BELEN,4750.0,10
BAÑADO DE DIVISADERO,5261.0,10
BALSA,4705.0,10
BALDE NUEVO,5263.0,10
BALDE LA PUNTA,5263.0,10
BALDE,5260.0,10
BALCOSNA DE AFUERA,4719.0,10
BALCOSNA,4719.0,10
AYAPASO,4234.0,10
ASERRADERO EL PILCIO,4740.0,10
ASAMPAY,4751.0,10
ARIMA,4740.0,10
APOYACO,5317.0,10
BALUNGASTA,5340.0,10
APOCANGO,5340.0,10
BELLA VISTA,4235.0,10
BISCOTAL,4715.0,10
CANDELARIA,4701.0,10
CANDELARIA,4231.0,10
CAÑADA LARGA,5265.0,10
CAÑADA DE PAEZ,4701.0,10
CAÑADA DE IPIZCA,4701.0,10
CAÑADA,5264.0,10
CAMPO BLANCO,5260.0,10
CAMPO BELLO,5260.0,10
CAMPITOS,4139.0,10
CALERA LA NORMA,5315.0,10
CALERA,4701.0,10
BELLA VISTA,4715.0,10
CALACIO,4701.0,10
CACHIJAN,4751.0,10
CACHI,4723.0,10
CABRERA,4701.0,10
CABALLA,5261.0,10
BUEY MUERTO,5260.0,10
BUEY MUERTO,4139.0,10
BUENA VISTA,5263.0,10
BUENA VISTA,4743.0,10
BUEN RETIRO,5260.0,10
BREA CHIMPANA,4230.0,10
BREA,5265.0,10
CACHUAN,4750.0,10
CANTERA ROTA,5340.0,10
ANTOFAGASTA DE LA SIERRA,4705.0,10
ANTAPOCA,4705.0,10
ALBIGASTA,4231.0,10
AGUAS CALIENTES,4751.0,10
AGUADITA,4705.0,10
AGUADA,5340.0,10
AGUA VERDE,4740.0,10
AGUA VERDE,4715.0,10
AGUA SALADA,4740.0,10
AGUA LOS MATOS,5265.0,10
AGUA GRANDE,5340.0,10
AGUA ESCONDIDA,5260.0,10
AGUA DEL SIMBOL,5261.0,10
ALBIGASTA,4235.0,10
AGUA DEL CAMPO,4750.0,10
AGUA DE DIONISIO,4751.0,10
AGUA COLORADA,4750.0,10
AGUA COLORADA,4724.0,10
AGUA AMARILLA PTA DE BALASTO,4139.0,10
AGUA AMARILLA LA HOYADA,4139.0,10
ADOLFO E CARRANZA,5263.0,10
ACOSTILLA,4701.0,10
ACONQUIJA,4743.0,10
ACHERAL,5260.0,10
ACHALCO,4234.0,10
JACIPUNCO,4751.0,10
AGUA DE LAS PALOMAS,4741.0,10
ANTINACO,5341.0,10
ALGARROBAL,4740.0,10
ALMIGAUCHO,4723.0,10
ANQUINCILA,4701.0,10
ANJULI,4231.0,10
ANILLACO,5341.0,10
ANGOSTURA,4750.0,10
ANGELINA,5264.0,10
ANDALUCIA,5331.0,10
ANDALHUALA,4139.0,10
ANDALGALA,4740.0,10
ANCHOCA,5340.0,10
ANCASTILLO,4231.0,10
ANCASTI,4701.0,10
ALIJILAN,4723.0,10
AMPUJACO,4750.0,10
AMPAJANGO,4139.0,10
AMBATO,4711.0,10
AMANCALA,4723.0,10
AMANAO,4741.0,10
AMANA,4701.0,10
AMADORES,4716.0,10
ALTO EL BOLSON,4751.0,10
ALTO DEL ROSARIO,5261.0,10
ALTO DE LA JUNTA,4743.0,10
ALTO BELLO,5261.0,10
ALTA GRACIA,4723.0,10
AMPOLLA,4723.0,10
EL CACHO,5261.0,10
CAPAYAN,4726.0,10
CARIDAD,4723.0,10
DIVISADERO,5260.0,10
DISTRITO ESPINILLO,4740.0,10
DESRUMBE,4139.0,10
CUMBRE DEL LAUDO,4705.0,10
CULAMPAJA,4751.0,10
CUEVA BLANCA,4750.0,10
SURUIPIANA,4235.0,10
COSTA DE REYES,5341.0,10
CORTADERAS,5261.0,10
CORTADERAS,4237.0,10
CORTADERA,5340.0,10
DOS POCITOS,4723.0,10
CORTADERA,4750.0,10
CORRALITO,5265.0,10
CORRALITO,4753.0,10
CORRALITA,4715.0,10
CORRAL VIEJO,4701.0,10
CORRAL VIEJO,4139.0,10
CORRAL QUEMADO,4751.0,10
CORRAL DE PIEDRA,5341.0,10
CORRAL DE PIEDRA,4701.0,10
CORDOBITA,5331.0,10
