localidad,cp,id_prov_mstr
LA POBLADORA,3703.0,22
LA ÑATA,3540.0,22
LA NEGRA,3513.0,22
LA NUEVA,3540.0,22
LA OFELIA,3540.0,22
LA PALOMETA,3505.0,22
LA PINTA,3714.0,22
LA PASTORIL,3515.0,22
LA PILAR,3505.0,22
LA MORA,3705.0,22
LA PALOMA,3714.0,22
LA MEDIA LUNA,3705.0,22
LA LIGURIA,3501.0,22
LA MATANZA,3531.0,22
LA MASCOTA,3706.0,22
LA MANUELA,3540.0,22
LA MAGDALENA,3522.0,22
LA LUCINDA,3513.0,22
LA LOMA,3505.0,22
LA LIBERTAD,3705.0,22
LA LEONESA,3518.0,22
LA ISLA,3503.0,22
LA INVERNADA,3705.0,22
LA FLOJERA,3705.0,22
LA GANADERA,3505.0,22
LA ILUSION,3714.0,22
LA GRINGA,3705.0,22
LA MATANZA,3703.0,22
LA POSTA,3524.0,22
LAGUNA BELIGAY,3505.0,22
LA RAQUEL,3513.0,22
LAS CUATRO BOCAS,3701.0,22
LAS CARPAS,3714.0,22
LAS CUCHILLAS,3722.0,22
LA FLECHA,3716.0,22
LAS BREÑAS,3722.0,22
LAS BLANCAS,3705.0,22
LAS BANDERAS,3536.0,22
LAPACHO,3518.0,22
LAPACHITO,3514.0,22
LAGUNA PATOS,3518.0,22
LAGUNA LIMPIA,3515.0,22
LAGUNA ESCONDIDA,3514.0,22
LAGUNA BLANCA,3514.0,22
LA ZANJA,3705.0,22
LA VIRUELA,3540.0,22
LA VICUÑA,3513.0,22
LA VERDE,3514.0,22
LA TRANQUILIDAD,3714.0,22
LA TIGRA,3701.0,22
LA TAPERA,3540.0,22
LA TAMBORA,3534.0,22
LA SUIZA,3540.0,22
LA SOLEDAD,3705.0,22
LA SOLEDAD,3534.0,22
LA SARA,3714.0,22
LA SALTARINA,3705.0,22
LA SABANA,3513.0,22
LA RINCONADA,3705.0,22
LA RINCONADA,3524.0,22
LA PROVIDENCIA,3714.0,22
LA FIDELIDAD,3705.0,22
KILOMETRO 5,3514.0,22
LA ESTACION,3705.0,22
KILOMETRO 525,3545.0,22
KILOMETRO 523,3733.0,22
KILOMETRO 523,3505.0,22
KILOMETRO 520,3543.0,22
KILOMETRO 519,3513.0,22
KILOMETRO 501,3513.0,22
KILOMETRO 498,3543.0,22
KILOMETRO 48,3509.0,22
KILOMETRO 474,3513.0,22
KILOMETRO 443,3513.0,22
KILOMETRO 42,3509.0,22
KILOMETRO 40,3705.0,22
KILOMETRO 39,3509.0,22
KILOMETRO 53,3543.0,22
KILOMETRO 38,3514.0,22
KILOMETRO 34,3514.0,22
KILOMETRO 29,3514.0,22
KILOMETRO 22,3534.0,22
KILOMETRO 22,3514.0,22
KILOMETRO 2 FCGB,3514.0,22
KILOMETRO 184,3620.0,22
KILOMETRO 15,3700.0,22
KILOMETRO 1183,3714.0,22
JUAN JOSE CASTELLI,3705.0,22
ITIN,3733.0,22
LAS CUCHILLAS CNIA J MARMOL,3701.0,22
ISLA DEL CERRITO,3505.0,22
ISLA ANTEQUERA,3505.0,22
KILOMETRO 34,3516.0,22
KILOMETRO 530,3545.0,22
KILOMETRO 575,3515.0,22
KILOMETRO 59,3509.0,22
LA ESPERANZA,3705.0,22
LA ESPERANZA,3534.0,22
LA ESPERANZA,3518.0,22
LA ESCONDIDA,3514.0,22
LA ENTRADA,3705.0,22
LA ELABORADORA,3514.0,22
LA EDUVIGIS,3507.0,22
LA ECONOMIA,3732.0,22
LA DIFICULTAD,3515.0,22
LA CUCHILLA,3734.0,22
LA CUCHILLA,3716.0,22
LA COSTOSA,3705.0,22
LA COLONIA,3500.0,22
LA CLOTILDE,3701.0,22
LA CHOZA,3513.0,22
LA CHIQUITA,3701.0,22
LA CHINA,3714.0,22
LA CHACO,3701.0,22
LA CAÑADA,3705.0,22
LA ARMONIA,3705.0,22
LA ARGENTINA,3714.0,22
LA AGUADA,3714.0,22
KILOMETRO 884,3703.0,22
KILOMETRO 855 ESTACION,3703.0,22
KILOMETRO 841,3703.0,22
KILOMETRO 76 RIO BERMEJO,3526.0,22
KILOMETRO 62,3509.0,22
KILOMETRO 602,3515.0,22
KILOMETRO 596,3541.0,22
LA EVANGELICA,3505.0,22
LAS DELICIAS,3714.0,22
MOLLE MARCADO,3705.0,22
LAS FLORES,3714.0,22
OBRAJE LA VICUÑA,3513.0,22
NUEVA YORK,3714.0,22
NUEVA UNION,3705.0,22
NUEVA POBLACION,3705.0,22
NTRA SEÑORA DE LA CONCEPCION,3703.0,22
NAPENAY,3706.0,22
NAPALPI,3531.0,22
MONTE CASEROS,3705.0,22
MISION NUEVA POMPEYA,3705.0,22
MISION ANGELICANA,3705.0,22
MIRAMAR,3705.0,22
MIRAFLORES,3705.0,22
MINISTRO RAMON GOMEZ,3732.0,22
PALMAR CENTRAL,3732.0,22
MIERES,3524.0,22
MARTINEZ DE HOZ,3536.0,22
MARIA SARA,3505.0,22
MARGARITA BELEN,3505.0,22
MANANTIALES,3705.0,22
