localidad,cp,id_prov_mstr
LOS CIPRESES,9203.0,26
LOS ALTARES,9207.0,26
LORETO,9121.0,26
LOMA REDONDA,9105.0,26
LANGUIÑEO,9201.0,26
LELEQUE,9213.0,26
LEGUA 24,9203.0,26
LAS SALINAS,9201.0,26
LAS PULGAS,9020.0,26
LAS PLUMAS,9101.0,26
LAS PAMPAS,9225.0,26
LAS HORQUETAS,9207.0,26
LAS GOLONDRINAS,8430.0,26
LAS CORTADERAS,9207.0,26
LAS CHAPAS,9107.0,26
LARRALDE,9121.0,26
LAS MULAS,9223.0,26
MANANTIAL GRANDE,9020.0,26
LOS MANANTIALES,9207.0,26
PAINALUF,9121.0,26
ÑORQUINCO SUD,8415.0,26
LAGUNITA SALADA,9121.0,26
NIRIGUCE PAMPA,9223.0,26
NIRIGUAO,9223.0,26
NAHUEL PAN ESTACION FCGR,9200.0,26
MEDANOS,9121.0,26
MAYOCO,9200.0,26
MATUCANA,9200.0,26
MATA GRANDE,9220.0,26
MANANTIALES BEHR,9000.0,26
MALLIN GRANDE CORCOVADO,9121.0,26
MALLIN GRANDE,9121.0,26
MALLIN BLANCO,9201.0,26
MALASPINA,9007.0,26
MAESTEG,9105.0,26
LOS TAMARISCOS,9031.0,26
LOS CORRALITOS,9223.0,26
LAGUNA VERDE,9220.0,26
LA ROSILLA,9121.0,26
LAGUNA RINCON DEL MORO,9207.0,26
LA NICOLASA,9039.0,26
LA LAURITA,9227.0,26
LA LANCHA,9200.0,26
LA CORONA,9121.0,26
LA CASTELLANA,9111.0,26
LA CASTELLANA,9007.0,26
LA CANCHA,9200.0,26
LA CANCHA,9039.0,26
LA BOMBILLA,9207.0,26
KILOMETRO 191,9020.0,26
KILOMETRO 11,9000.0,26
JOSE DE SAN MARTIN,9220.0,26
ING BRUNO J THOMAE,9210.0,26
HOLDICH,9009.0,26
HITO 50,9039.0,26
PAMPA DE AGNIA,9201.0,26
HITO 45,9039.0,26
LA PEPITA,9033.0,26
LAGUNA TERRAPLEN,9200.0,26
LA PRIMAVERA,9201.0,26
LA SIBERIA,9039.0,26
LAGUNA PALACIO,9020.0,26
LAGUNA GRANDE,9107.0,26
LAGUNA FRIA,9121.0,26
LAGUNA DEL MATE,9020.0,26
LAGUNA DE VACAS,9121.0,26
LAGUNA BLANCA,9220.0,26
LAGO VINTTER,9225.0,26
LAGO VERDE,9225.0,26
LAGO ROSARIO,9203.0,26
