localidad,cp,id_prov_mstr
Ciudad Autonoma de Buenos Aires,,2
Ciudad Autonoma de Buenos Aires,1144.0,2
Ciudad Autonoma de Buenos Aires,1145.0,2
Ciudad Autonoma de Buenos Aires,1146.0,2
Ciudad Autonoma de Buenos Aires,1147.0,2
Ciudad Autonoma de Buenos Aires,1148.0,2
Ciudad Autonoma de Buenos Aires,1149.0,2
Ciudad Autonoma de Buenos Aires,1150.0,2
Ciudad Autonoma de Buenos Aires,1151.0,2
Ciudad Autonoma de Buenos Aires,1152.0,2
Ciudad Autonoma de Buenos Aires,1153.0,2
Ciudad Autonoma de Buenos Aires,1154.0,2
Ciudad Autonoma de Buenos Aires,1143.0,2
Ciudad Autonoma de Buenos Aires,1155.0,2
Ciudad Autonoma de Buenos Aires,1157.0,2
Ciudad Autonoma de Buenos Aires,1158.0,2
Ciudad Autonoma de Buenos Aires,1159.0,2
Ciudad Autonoma de Buenos Aires,1160.0,2
Ciudad Autonoma de Buenos Aires,1161.0,2
Ciudad Autonoma de Buenos Aires,1162.0,2
Ciudad Autonoma de Buenos Aires,1163.0,2
Ciudad Autonoma de Buenos Aires,1164.0,2
Ciudad Autonoma de Buenos Aires,1165.0,2
Ciudad Autonoma de Buenos Aires,1166.0,2
Ciudad Autonoma de Buenos Aires,1167.0,2
Ciudad Autonoma de Buenos Aires,1156.0,2
Ciudad Autonoma de Buenos Aires,1142.0,2
Ciudad Autonoma de Buenos Aires,1141.0,2
Ciudad Autonoma de Buenos Aires,1140.0,2
Ciudad Autonoma de Buenos Aires,1115.0,2
Ciudad Autonoma de Buenos Aires,1116.0,2
Ciudad Autonoma de Buenos Aires,1117.0,2
Ciudad Autonoma de Buenos Aires,1118.0,2
Ciudad Autonoma de Buenos Aires,1119.0,2
Ciudad Autonoma de Buenos Aires,1120.0,2
Ciudad Autonoma de Buenos Aires,1121.0,2
Ciudad Autonoma de Buenos Aires,1122.0,2
Ciudad Autonoma de Buenos Aires,1123.0,2
Ciudad Autonoma de Buenos Aires,1124.0,2
Ciudad Autonoma de Buenos Aires,1125.0,2
Ciudad Autonoma de Buenos Aires,1126.0,2
Ciudad Autonoma de Buenos Aires,1127.0,2
Ciudad Autonoma de Buenos Aires,1128.0,2
Ciudad Autonoma de Buenos Aires,1129.0,2
Ciudad Autonoma de Buenos Aires,1130.0,2
Ciudad Autonoma de Buenos Aires,1131.0,2
Ciudad Autonoma de Buenos Aires,1132.0,2
Ciudad Autonoma de Buenos Aires,1133.0,2
Ciudad Autonoma de Buenos Aires,1134.0,2
Ciudad Autonoma de Buenos Aires,1135.0,2
Ciudad Autonoma de Buenos Aires,1136.0,2
Ciudad Autonoma de Buenos Aires,1137.0,2
Ciudad Autonoma de Buenos Aires,1138.0,2
Ciudad Autonoma de Buenos Aires,1139.0,2
Ciudad Autonoma de Buenos Aires,1168.0,2
Ciudad Autonoma de Buenos Aires,1114.0,2
Ciudad Autonoma de Buenos Aires,1169.0,2
Ciudad Autonoma de Buenos Aires,1171.0,2
Ciudad Autonoma de Buenos Aires,1201.0,2
Ciudad Autonoma de Buenos Aires,1202.0,2
Ciudad Autonoma de Buenos Aires,1203.0,2
Ciudad Autonoma de Buenos Aires,1204.0,2
Ciudad Autonoma de Buenos Aires,1205.0,2
Ciudad Autonoma de Buenos Aires,1206.0,2
Ciudad Autonoma de Buenos Aires,1207.0,2
Ciudad Autonoma de Buenos Aires,1208.0,2
Ciudad Autonoma de Buenos Aires,1209.0,2
Ciudad Autonoma de Buenos Aires,1210.0,2
Ciudad Autonoma de Buenos Aires,1211.0,2
Ciudad Autonoma de Buenos Aires,1200.0,2
Ciudad Autonoma de Buenos Aires,1212.0,2
Ciudad Autonoma de Buenos Aires,1214.0,2
Ciudad Autonoma de Buenos Aires,1215.0,2
Ciudad Autonoma de Buenos Aires,1216.0,2
Ciudad Autonoma de Buenos Aires,1217.0,2
Ciudad Autonoma de Buenos Aires,1218.0,2
Ciudad Autonoma de Buenos Aires,1219.0,2
Ciudad Autonoma de Buenos Aires,1220.0,2
Ciudad Autonoma de Buenos Aires,1221.0,2
Ciudad Autonoma de Buenos Aires,1222.0,2
Ciudad Autonoma de Buenos Aires,1223.0,2
Ciudad Autonoma de Buenos Aires,1224.0,2
Ciudad Autonoma de Buenos Aires,1213.0,2
Ciudad Autonoma de Buenos Aires,1199.0,2
Ciudad Autonoma de Buenos Aires,1198.0,2
Ciudad Autonoma de Buenos Aires,1197.0,2
Ciudad Autonoma de Buenos Aires,1172.0,2
Ciudad Autonoma de Buenos Aires,1173.0,2
Ciudad Autonoma de Buenos Aires,1174.0,2
Ciudad Autonoma de Buenos Aires,1175.0,2
Ciudad Autonoma de Buenos Aires,1176.0,2
Ciudad Autonoma de Buenos Aires,1177.0,2
Ciudad Autonoma de Buenos Aires,1178.0,2
Ciudad Autonoma de Buenos Aires,1179.0,2
Ciudad Autonoma de Buenos Aires,1180.0,2
Ciudad Autonoma de Buenos Aires,1181.0,2
Ciudad Autonoma de Buenos Aires,1182.0,2
Ciudad Autonoma de Buenos Aires,1183.0,2
Ciudad Autonoma de Buenos Aires,1184.0,2
Ciudad Autonoma de Buenos Aires,1185.0,2
Ciudad Autonoma de Buenos Aires,1186.0,2
Ciudad Autonoma de Buenos Aires,1187.0,2
Ciudad Autonoma de Buenos Aires,1188.0,2
Ciudad Autonoma de Buenos Aires,1189.0,2
Ciudad Autonoma de Buenos Aires,1190.0,2
Ciudad Autonoma de Buenos Aires,1191.0,2
Ciudad Autonoma de Buenos Aires,1192.0,2
Ciudad Autonoma de Buenos Aires,1193.0,2
Ciudad Autonoma de Buenos Aires,1194.0,2
Ciudad Autonoma de Buenos Aires,1195.0,2
Ciudad Autonoma de Buenos Aires,1196.0,2
Ciudad Autonoma de Buenos Aires,1170.0,2
Ciudad Autonoma de Buenos Aires,1225.0,2
Ciudad Autonoma de Buenos Aires,1113.0,2
Ciudad Autonoma de Buenos Aires,1111.0,2
Ciudad Autonoma de Buenos Aires,1030.0,2
Ciudad Autonoma de Buenos Aires,1031.0,2
Ciudad Autonoma de Buenos Aires,1032.0,2
Ciudad Autonoma de Buenos Aires,1033.0,2
Ciudad Autonoma de Buenos Aires,1034.0,2
Ciudad Autonoma de Buenos Aires,1035.0,2
Ciudad Autonoma de Buenos Aires,1036.0,2
Ciudad Autonoma de Buenos Aires,1037.0,2
Ciudad Autonoma de Buenos Aires,1038.0,2
Ciudad Autonoma de Buenos Aires,1039.0,2
Ciudad Autonoma de Buenos Aires,1040.0,2
Ciudad Autonoma de Buenos Aires,1029.0,2
Ciudad Autonoma de Buenos Aires,1041.0,2
Ciudad Autonoma de Buenos Aires,1043.0,2
Ciudad Autonoma de Buenos Aires,1044.0,2
Ciudad Autonoma de Buenos Aires,1045.0,2
Ciudad Autonoma de Buenos Aires,1046.0,2
Ciudad Autonoma de Buenos Aires,1047.0,2
Ciudad Autonoma de Buenos Aires,1048.0,2
Ciudad Autonoma de Buenos Aires,1049.0,2
Ciudad Autonoma de Buenos Aires,1050.0,2
Ciudad Autonoma de Buenos Aires,1051.0,2
Ciudad Autonoma de Buenos Aires,1052.0,2
Ciudad Autonoma de Buenos Aires,1053.0,2
Ciudad Autonoma de Buenos Aires,1042.0,2
Ciudad Autonoma de Buenos Aires,1028.0,2
Ciudad Autonoma de Buenos Aires,1027.0,2
Ciudad Autonoma de Buenos Aires,1026.0,2
Ciudad Autonoma de Buenos Aires,1001.0,2
Ciudad Autonoma de Buenos Aires,1002.0,2
Ciudad Autonoma de Buenos Aires,1003.0,2
Ciudad Autonoma de Buenos Aires,1004.0,2
Ciudad Autonoma de Buenos Aires,1005.0,2
Ciudad Autonoma de Buenos Aires,1006.0,2
Ciudad Autonoma de Buenos Aires,1007.0,2
Ciudad Autonoma de Buenos Aires,1008.0,2
Ciudad Autonoma de Buenos Aires,1009.0,2
