localidad,cp,id_prov_mstr
LA PENCA,5231.0,14
LA PAZ,5879.0,14
LA PAZ,5117.0,14
LA PENCA,6279.0,14
LA PERLITA,6271.0,14
LA PLAYOSA,5911.0,14
LA PIEDRA MOVEDIZA,5184.0,14
LA PINTADA,5248.0,14
LA PINTADA,5271.0,14
LA POBLACION,5875.0,14
LA PATRIA,5871.0,14
LA PLAZA,5244.0,14
LA PIEDRA BLANCA,5246.0,14
LA PLAYA,5285.0,14
LA MUDANA,5299.0,14
LA PAQUITA,2417.0,14
LA MESILLA,5285.0,14
LA MESADA,5200.0,14
LA MERCANTIL,5841.0,14
LA POBLADORA,5945.0,14
LA MILKA,2400.0,14
LA MOSTAZA,5137.0,14
LA MESADA,5801.0,14
LA MAZA,5231.0,14
LA NACIONAL,6275.0,14
LA OSCURIDAD,5255.0,14
LA PAISANITA,5186.0,14
LA PALESTINA,5925.0,14
LA PALMA,5231.0,14
LA PALMERINA,5913.0,14
LA PAMPA,5117.0,14
LA PARA,5137.0,14
LA PORFIA,5119.0,14
LA ROSARINA,5951.0,14
LA POSTA,5227.0,14
LA REDUCCION,5105.0,14
LA REINA,5925.0,14
LA REPRESA,2436.0,14
LA RINCONADA,5233.0,14
LA RINCONADA CANDELARIA,5249.0,14
LA RUDA,5214.0,14
LA REDUCCION,2594.0,14
LA SELVA,5212.0,14
LA TABLADA,5299.0,14
LA SIENA,5875.0,14
LA MAJADA,5887.0,14
LA SOLEDAD,5249.0,14
LA SIERRITA,5813.0,14
LA SIERRITA,5297.0,14
LA SERRANITA,5189.0,14
LA REDENCION,5105.0,14
LA RAMONCITA,5813.0,14
LA RAMADA,6123.0,14
LA POSTA CHUÑAGUAS,5201.0,14
LA PRIMAVERA,5139.0,14
LA PROVIDENCIA,5231.0,14
LA PUERTA,5101.0,14
LA PUERTA,5137.0,14
LA PUERTA,5281.0,14
LA PUERTA VILLA DE SOTO,5284.0,14
LA QUEBRADA,5107.0,14
LA QUEBRADA,5172.0,14
LA QUEBRADA,5297.0,14
LA QUINTA,5135.0,14
LA QUINTA,5209.0,14
LA QUINTA,5887.0,14
LA QUINTANA,5249.0,14
LA RAMADA,5875.0,14
LA PORTEÑA,5221.0,14
LA MAJADA,5212.0,14
LA COLORADA,5831.0,14
LA LINEA,5871.0,14
LA COSTA,5249.0,14
LA COSTA,5282.0,14
LA COSTA,5885.0,14
LA COTITA,5220.0,14
LA CRUZ,5249.0,14
LA CRUZ,5859.0,14
LA COSTA,5244.0,14
LA CUMBRE,5178.0,14
LA CUMBRECITA,5194.0,14
LA CURVA,2434.0,14
LA DORA,5229.0,14
LA DORMIDA,5817.0,14
LA ESPERANZA,5209.0,14
LA ESPERANZA,5231.0,14
LA CUMBRE,5801.0,14
LA ESQUINA,5295.0,14
LA CORTADERA,5871.0,14
LA CONCEPCION,5870.0,14
LA CAUTIVA,6142.0,14
LA CELINA,5125.0,14
LA CESIRA,6101.0,14
LA TIGRA,5949.0,14
LA CASCADA,5854.0,14
LA CHACRA,5212.0,14
LA CORTADERA,2434.0,14
LA CHICHARRA,5249.0,14
LA CIENAGA,5133.0,14
LA COCHA,5101.0,14
LA COCHA,5893.0,14
LA COLONIA,5201.0,14
LA COMPASION,5871.0,14
LA CONCEPCION,5281.0,14
LA CHOZA,5196.0,14
LA ESQUINA,5801.0,14
LA ESTACADA,5212.0,14
LA ESTANCIA,5249.0,14
LA HIGUERITA,5244.0,14
LA INVERNADA,5801.0,14
LA ISABELA,5200.0,14
LA ISLA,5186.0,14
LA ISLETA,5963.0,14
LA ISOLINA,5186.0,14
LA HIGUERITA,5201.0,14
LA ITALIANA,2651.0,14
LA LAGUNA,5205.0,14
LA LAGUNA,5284.0,14
LA LAGUNA,5901.0,14
LA LAGUNILLA,5119.0,14
LA LAGUNILLA,5825.0,14
LA LILIA,5281.0,14
LA JARILLA,5871.0,14
LA HIGUERA,5285.0,14
LA HERRADURA,5900.0,14
LA GUARDIA,5891.0,14
LA ESTANCIA,5291.0,14
LA ESTANCITA,5111.0,14
LA ESTRELLA,5129.0,14
LA FALDA,5172.0,14
LA FLORIDA,5214.0,14
LA FLORIDA,5281.0,14
LA FRANCIA,2426.0,14
LA FRONDA,5282.0,14
LA FRONTERA,2433.0,14
LA FUENTE,5879.0,14
LA GILDA,5848.0,14
LA GRAMILLA,5282.0,14
LA GRANADILLA,5187.0,14
LA GRANJA,5115.0,14
LA GRUTA,5889.0,14
LA LUZ,6271.0,14
LA TOMA,5244.0,14
LAS PEÑAS,5817.0,14
LA TOMA,5889.0,14
LAS HIGUERITAS,5199.0,14
LAS HILERAS,5137.0,14
LAS HORQUETAS,5244.0,14
LAS ISLETILLAS,5931.0,14
LAS JARILLAS,5209.0,14
LAS JARILLAS,5871.0,14
LAS HIGUERITAS,5186.0,14
LAS JUNTAS,5203.0,14
LAS LAGUNITAS,2568.0,14
LAS LATAS,5272.0,14
LAS LOMAS,5284.0,14
LAS LOMITAS,5212.0,14
LAS LOMITAS,5244.0,14
LAS MANZANAS,5212.0,14
LAS JUNTURAS,5965.0,14
LAS MASITAS,5231.0,14
LAS HIGUERILLAS,5131.0,14
LAS HERAS,5101.0,14
LAS CUATRO ESQUINAS,5900.0,14
LAS CUSENADAS,5109.0,14
LAS DELICIAS,2433.0,14
LAS DELICIAS,5212.0,14
LAS ENCADENADAS,5109.0,14
LAS ENCRUCIJADAS,5871.0,14
LAS HIGUERAS,5805.0,14
LAS ENSENADAS,5153.0,14
LAS FLORES,5249.0,14
