localidad,cp,id_prov_mstr
ISLA IBATE,3412.0,18
IBIRA PITA,3470.0,18
IBIRAY,3414.0,18
IBIRITANGAY,3302.0,18
IFRAN,3453.0,18
IGUATE PORA,3423.0,18
INDEPENDENCIA,3222.0,18
INFANTE,3483.0,18
INGA,3196.0,18
INVERNADA,3454.0,18
IPACARAPA,3485.0,18
ISABEL VICTORIA,3453.0,18
ISLA ALTA,3448.0,18
ISLA ALTA,3449.0,18
ISLA APIPE CHICO,3302.0,18
ISLA GRANDE,3342.0,18
ISLA IBATAY,3401.0,18
INGENIO PRIMER CORRENTINO,3401.0,18
ISLA SAN MATEO,3340.0,18
GUAY GRANDE,3340.0,18
IBAVIYU,3466.0,18
GARRIDO CUE,3416.0,18
GARRUCHOS,3351.0,18
ISLA SOLA,3450.0,18
GDOR JUAN EUSEBIO TORRENT,3403.0,18
GENERAL PAZ,3407.0,18
GOBERNADOR JUAN E MARTINEZ,3445.0,18
GOBERNADOR RUIZ,3340.0,18
GOBERNADOR VIRASORO,3342.0,18
IBERA,3342.0,18
GOMEZ CUE,3340.0,18
GRANJA AMELIA,3450.0,18
GUAVIRAVI,3232.0,18
GUAYCURU,3465.0,18
GUAYQUIRARO,3194.0,18
GUAYU,3412.0,18
GUAZU CORA,3420.0,18
HERLITZKA,3403.0,18
IBAHAY,3480.0,18
GOYA,3450.0,18
ISLA TACUARA,3481.0,18
KILOMETRO 151,3405.0,18
ITA CORA,3470.0,18
KILOMETRO 204,3232.0,18
KILOMETRO 235,3234.0,18
KILOMETRO 261,3476.0,18
KILOMETRO 268,3230.0,18
KILOMETRO 287 FCGU,3470.0,18
KILOMETRO 296,3470.0,18
KILOMETRO 31,3403.0,18
KILOMETRO 374,3446.0,18
KILOMETRO 182,3224.0,18
KILOMETRO 382,3448.0,18
KILOMETRO 393,3344.0,18
KILOMETRO 394,3344.0,18
KILOMETRO 396,3344.0,18
KILOMETRO 402,3448.0,18
KILOMETRO 405,3460.0,18
KILOMETRO 406,3420.0,18
GARRIDO,3403.0,18
KILOMETRO 410,3445.0,18
KILOMETRO 387,3446.0,18
KILOMETRO 173,3220.0,18
KILOMETRO 167,3220.0,18
KILOMETRO 148,3405.0,18
ITA CUA,3340.0,18
ITA CURUBI,3450.0,18
ITA IBATE,3480.0,18
ITA PASO,3483.0,18
ITA PUCU,3470.0,18
ITATI,3414.0,18
ITATI RINCON,3470.0,18
ITUZAINGO,3302.0,18
JARDIN FLORIDO,3420.0,18
JESUS MARIA,3196.0,18
JOSE RAFAEL GOMEZ,3342.0,18
JUAN DIAZ,3449.0,18
JUAN PUJOL,3222.0,18
JUAN RAMON VIDAL,3401.0,18
JUSTINO SOLARI,3476.0,18
KILOMETRO 104,3226.0,18
KILOMETRO 120,3222.0,18
KILOMETRO 13,3401.0,18
KILOMETRO 134,3222.0,18
ISOQUI,3346.0,18
GARCITAS,3302.0,18
ESTANCIA LA CALERA,3470.0,18
GALARZA CUE,3340.0,18
ESTACION LIBERTAD,3224.0,18
ESTACION SALADAS,3428.0,18
ESTANCIA AGUACEROS,3470.0,18
ESTANCIA BUENA VISTA,3340.0,18
ESTANCIA CAFFERATTA,3196.0,18
ESTANCIA CASURINA,3340.0,18
ESTANCIA CERRO VERDE,3470.0,18
ESTANCIA DEL MEDIO,3474.0,18
ESTACION AGRONOMICA,3432.0,18
ESTANCIA DURRUTI,3340.0,18
ESTANCIA EL CARMEN,3460.0,18
ESTANCIA EL CHAÑAR,3460.0,18
ESTANCIA EL OMBU,3340.0,18
ESTANCIA EL PORVENIR,3231.0,18
ESTANCIA GONZALEZ CRUZ,3470.0,18
ESTANCIA ITA CAABO,3470.0,18
ESTANCIA LA ARBOLEDA,3231.0,18
ESTANCIA LA CARMENCHA,3481.0,18
ESTANCIA EL CARMEN,3196.0,18
ESTABLECIMIENTO LA MERCED,3358.0,18
EST SOLARI,3476.0,18
ESQUIVEL CUE,3403.0,18
KILOMETRO 416,3445.0,18
EL TIGRE,3463.0,18
EL TORO PI,3432.0,18
EL TRANSITO,3454.0,18
EL VASCO,3403.0,18
EL YAPU,3197.0,18
EL YUQUERI,3423.0,18
