localidad,cp,id_prov_mstr
PUERTO MARQUEZ,3190.0,30
PUERTO BARRILES,2840.0,30
PUERTO RUIZ,2840.0,30
PUERTO CADENAS,3192.0,30
PUERTO CAMPINCHUELO,3261.0,30
PUERTO COLORADO,3280.0,30
PUERTO CONSTANZA,2846.0,30
PUERTO CURTIEMBRE,3113.0,30
PUERTO ESQUINA,3155.0,30
PUERTO ALMIRON,3281.0,30
PUERTO LA ESMERALDA,3190.0,30
PUERTO LAS CUEVAS,3101.0,30
PUERTO LOPEZ,3101.0,30
PUERTO PERAZZO,2846.0,30
PUERTO DIAMANTE,3105.0,30
PUERTO IBICUY,2846.0,30
PUENTE VICTORIA,3153.0,30
PUERTO ALGARROBO,3127.0,30
PUEBLO MORENO,3122.0,30
PUEBLO NUEVO,2820.0,30
PUERTO SAN JUAN,2846.0,30
PUEBLO NUEVO,3170.0,30
PUEBLO PRIMERO,3174.0,30
PUENTE CARMONA,3118.0,30
PUENTE DE GUALEGUAYCHU,3265.0,30
PUENTE DE LAS PENCAS,3101.0,30
PUENTE DE LUCAS,3216.0,30
PUENTE DEL CHAÑAR,3111.0,30
PUENTE ÑANCAY,2823.0,30
PUENTE OBISPO,3174.0,30
PUENTE PARANACITO,2823.0,30
PUENTE PELLEGRINI,2840.0,30
PUERTA DE CRESPO,3155.0,30
PUERTO ALGARROBO,3206.0,30
PUENTE DEL DOLL,3101.0,30
RACHEL,3246.0,30
PUERTO VIBORAS,3129.0,30
RINCON DE MOJONES,3241.0,30
RINCON DE NOGOYA,3155.0,30
RINCON DEL CINTO,2826.0,30
RINCON DEL DOLL,3101.0,30
RINCON DEL GATO,2821.0,30
RINCON DEL NOGOYA SUR,2840.0,30
RINCON LUCAS NORTE,3241.0,30
RINCON LUCAS SUD,3241.0,30
RIO AGUILA,2805.0,30
RIO ALFEREZ NELSON PAGE,2805.0,30
RIO CEIBO,2805.0,30
RIO PARANA GUAZU,2805.0,30
RIO PASAJE AL AGUILA,2805.0,30
PUEBLO LIEBIG,3281.0,30
RIO SAUCE,2805.0,30
RINCON DE LAS GUACHAS,3174.0,30
RAMON A PARERA,3118.0,30
RAMBLON,3109.0,30
RAICES OESTE,3241.0,30
PUERTO VIEJO,3100.0,30
PUERTO VIEJO,3260.0,30
PUERTO VILLARRUEL,3127.0,30
PUERTO YERUA,3201.0,30
PUERTO YUNQUE,3190.0,30
PUNTA DEL MONTE,2840.0,30
PUNTAS DE MOREIRA,3181.0,30
PUERTO UNZUE,2820.0,30
PUNTAS DEL GUALEGUAYCHU,3269.0,30
QUEBRACHITOS,3153.0,30
QUEBRACHO,3109.0,30
QUEBRACHO,3212.0,30
