localidad,cp,id_prov_mstr
TATU PIRE,3630.0,34
TRES LAGUNAS,3620.0,34
TRES LAGUNAS,3611.0,34
TRES LAGUNAS,3601.0,34
TRANSITO CUE,3626.0,34
TORO PASO,3611.0,34
TOMAS GODOY CRUZ,3630.0,34
TIMBO PORA,3600.0,34
TENIENTE BROWN,3622.0,34
TATANE,3601.0,34
SOLDADO HERIBERTO AVALOS,3615.0,34
SUIPACHA,3630.0,34
SUBTTE RICARDO E MASAFERRO,3615.0,34
SUBTENIENTE PERIN,3624.0,34
SOMBRERO NEGRO,3636.0,34
SOLDADO TOMAS SANCHEZ,3601.0,34
SOLDADO RAMON A ARRIETA,3620.0,34
SOLDADO MARCELINO TORALES,3630.0,34
SOLDADO ISMAEL SANCHEZ,3624.0,34
TRES MARIAS,3600.0,34
SUMAYEN,3634.0,34
TRES MOJONES,3601.0,34
ZORRILLA CUE,3606.0,34
TRES POZOS,3626.0,34
SOLDADO ERMINDO LUNA,3630.0,34
YUNCA,3620.0,34
VIRASOL,3610.0,34
VILLA REAL,3615.0,34
VILLA MERCEDES,3624.0,34
VILLA LUCERO,3611.0,34
VILLA HERMOSA,3615.0,34
VILLA GRAL MANUEL BELGRANO,3615.0,34
VILLA GENERAL URQUIZA,3628.0,34
VILLA GENERAL GUEMES,3621.0,34
VILLA ESCOLAR,3526.0,34
VILLA EMILIA,3600.0,34
VILLA DOS TRECE,3603.0,34
VILLA ADELAIDA,3624.0,34
VACA PERDIDA,3636.0,34
URBANA VIEJA,3621.0,34
TTE GRAL ROSENDO N FRA,3636.0,34
TTE GRAL JUAN C SANCHEZ,3611.0,34
TTE CNEL GASPAR CAMPOS,3630.0,34
TTE CNEL GASPAR CAMPOS,3615.0,34
TRES POZOS,3634.0,34
TRES POCITOS,3601.0,34
SOLDADO EDMUNDO SOSA,3603.0,34
POZO DE LAS GARZAS,3630.0,34
SOLDADO ALBERTO VILLALBA,3636.0,34
EL MARCADO,3634.0,34
EL MIRADOR,3630.0,34
EL MISTOLAR,3636.0,34
EL MOJON,3634.0,34
EL ÑANDU,3608.0,34
EL OCULTO,3624.0,34
EL OLVIDO,3601.0,34
EL OMBU,3601.0,34
EL PALMAR,3606.0,34
EL PALO SANTO,3634.0,34
EL PARAISO,3610.0,34
EL PARAISO,3634.0,34
EL PERDIDO,3630.0,34
EL PILON,3634.0,34
EL PIMPIN,3632.0,34
EL PINDO,3601.0,34
EL PINDO,3634.0,34
EL POI,3606.0,34
EL POMBERO,3611.0,34
EL PORTEÑITO,3621.0,34
EL PORTEÑO,3620.0,34
EL POTRERITO,3636.0,34
EL POTRILLO,3636.0,34
EL QUEBRACHO,3630.0,34
EL QUEBRANTO,3606.0,34
EL QUEMADO,3636.0,34
SOLDADO DANTE SALVATIERRA,3624.0,34
EL GUAJHO,3606.0,34
EL RECREO,3626.0,34
EL GATO,3601.0,34
EL DESMONTE,3636.0,34
CURUPAY,3601.0,34
DESVIO LOS MATACOS,3608.0,34
DOCTOR CARLOS MONTAG,3624.0,34
DOCTOR GUMERSINDO SAYAGO,3636.0,34
DOCTOR LUIS AGOTE,3636.0,34
DOMINGO F SARMIENTO,3621.0,34
EL ACHERAL,3634.0,34
EL AIBALITO,3634.0,34
EL ALAMBRADO,3636.0,34
EL ALGARROBO,3606.0,34
EL ANGELITO,3601.0,34
EL ARBOL SOLO,3601.0,34
EL ARBOLITO,3601.0,34
EL AZOTADO,3636.0,34
EL BAÑADERO,3606.0,34
EL BORDO SANTO,3634.0,34
EL BRAGADO,3634.0,34
EL CAÑON,3634.0,34
EL CAVADO,3634.0,34
EL CEIBAL,3630.0,34
EL COATI,3630.0,34
EL COGOIK,3620.0,34
EL COLORADO,3603.0,34
EL CORRALITO,3606.0,34
EL CORRALITO,3634.0,34
EL CORREDERO,3630.0,34
EL DESCANSO,3630.0,34
EL ESPINILLO,3615.0,34
EL REMANSO,3634.0,34
EL RESGUARDO,3606.0,34
EL ROSADO,3636.0,34
FORTIN FONTANA,3620.0,34
FORTIN GALPON,3601.0,34
FORTIN GUEMES,3630.0,34
FORTIN LA SOLEDAD,3630.0,34
FORTIN MEDIA LUNA,3634.0,34
FORTIN PILCOMAYO,3630.0,34
FORTIN SARGENTO 1RO LEYES,3621.0,34
FRANCISCO NARCISO DE LAPRIDA,3636.0,34
FRAY MAMERTO ESQUIU,3601.0,34
FRONTERA,3613.0,34
GABRIELA MISTRAL,3626.0,34
GARCETE CUE,3611.0,34
GENDARME VIVIANO GARCETE,3606.0,34
GENERAL ENRIQUE MOSCONI,3636.0,34
GENERAL FRANCISCO B BOSCH,3632.0,34
GENERAL JULIO DE VEDIA,3615.0,34
GENERAL MANUEL BELGRANO,3615.0,34
GENERAL PABLO RICCHIERI,3603.0,34
GOBERNADOR LUNA OLMOS,3611.0,34
GOBERNADOR YALUR,3636.0,34
GRAL IGNACIO H FOTHERINGHAM,3526.0,34
GRAL LUCIO V MANSILLA,3526.0,34
GRAN GUARDIA,3604.0,34
GUADALCAZAR,3636.0,34
GUAYCOLEC,3600.0,34
HERMINDO BONAS,3626.0,34
HERRADURA,3601.0,34
FORTIN CABO 1RO LUGONES,3621.0,34
FORTIN CABO 1RO CHAVEZ,3630.0,34
FORTIN CABO 1RO CHAVES,3630.0,34
FORMOSA,3600.0,34
EL SALADO,3606.0,34
EL SAUCE,3628.0,34
EL SILENCIO,3601.0,34
EL SIMBOLAR,3634.0,34
EL SOMBRERO NEGRO,3634.0,34
EL SURR,3634.0,34
EL TACURUZAL,3630.0,34
EL TASTAS,3632.0,34
EL TOTORAL,3630.0,34
EL TOTORAL,3636.0,34
