localidad,cp,id_prov_mstr
SANTILLO,4512.0,38
SANTO DOMINGO,4608.0,38
SAUZAL,4501.0,38
SANTUYOC,4616.0,38
SANTUARIO,4640.0,38
SANTA ROSA VALLE GRANDE,4618.0,38
TABLADITAS,4640.0,38
SANTA RITA,4608.0,38
SANTA RITA,4501.0,38
SANTA CLARA,4513.0,38
SANTA CLARA,4501.0,38
SAUZALITO,4512.0,38
SANTA CATALINA,4655.0,38
SANTA ROSA TUMBAYA,4618.0,38
SAYATE,4640.0,38
SUSQUES,4641.0,38
SEPULTURA,4512.0,38
SEY,4411.0,38
SIBERIA,4506.0,38
SIETE AGUAS,4501.0,38
SIJES,4641.0,38
SOCABON,4512.0,38
SOLEDAD,4512.0,38
SOLEDAD,4631.0,38
SORCUYO,4640.0,38
SOYSOLAYTE,4643.0,38
SURIPUJIO,4651.0,38
SUSUYACO,4618.0,38
SANTA BARBARA,4513.0,38
SENADOR PEREZ,4626.0,38
SANTA ANA DE LA PUNA,4641.0,38
SAN FRANCISCO,4655.0,38
SANSANA,4650.0,38
TABLON,4631.0,38
SAN BERNARDO,4618.0,38
SAN FRANCISCO,4512.0,38
SAN FRANCISCO DE ALFARCITO,4641.0,38
SAN GABRIEL,4608.0,38
SAN JAVIER,4618.0,38
SAN JOSE,4626.0,38
SAN JOSE DE LA RINCONADA,4643.0,38
SAN JOSE DE MIRAFLORES,4640.0,38
SAN JOSE DEL BORDO,4500.0,38
SAN JOSE DEL CHAÑI,4618.0,38
SAN JUAN,4643.0,38
SAN JUAN,4655.0,38
SAN JUAN DE DIOS,4501.0,38
SANTA ANA,4631.0,38
SAN JUAN DE OROS,4655.0,38
SAN JUANCITO,4608.0,38
SAN LEON,4655.0,38
SAN LORENZO,4514.0,38
SAN LUCAS,4500.0,38
SAN LUCAS,4513.0,38
SAN PABLO DE REYES,4600.0,38
SAN PEDRITO,4622.0,38
SAN PEDRO,4500.0,38
SAN PEDRO DE IRUYA,4633.0,38
SAN RAFAEL,4501.0,38
SAN RAFAEL,4608.0,38
SAN ROQUE,4630.0,38
SAN SALVADOR DE JUJUY,4600.0,38
SAN VICENTE,4608.0,38
SAN JUAN DE QUILLAGUES,4641.0,38
TACTA,4622.0,38
YERBA BUENA LEDESMA,4622.0,38
TALA GRUSA,4618.0,38
TURU TARI,4640.0,38
TURU TARI,4641.0,38
TUSAQUILLAS,4641.0,38
UQUIA,4626.0,38
VALLE COLORADO,4631.0,38
VALLE GRANDE,4513.0,38
VARAS,4631.0,38
VENECIAS ARGENTINAS,4608.0,38
VETA MINA AGUILAR,4634.0,38
VICUÑAYOC,4634.0,38
VILLA ARGENTINA,4608.0,38
VILLA CIUDAD DE NIEVA,4600.0,38
VILLA CORANZULI,4643.0,38
VILLA DEL PERCHEL,4626.0,38
TURILARI,4641.0,38
VILLA GORRITI,4600.0,38
VINALITO,4518.0,38
VIZACACHAL,4631.0,38
VOLCAN,4616.0,38
VOLCAN HIGUERA,4633.0,38
YACORAITE,4634.0,38
YALA,4616.0,38
YALA DE MONTE CARMELO,4624.0,38
YAVI,4651.0,38
YAVI CHICO,4644.0,38
YERBA BUENA TILCARA,4622.0,38
YOSCABA,4653.0,38
