localidad,cp,id_prov_mstr
SAN HILARIO,6212.0,42
SAN HUMBERTO,6325.0,42
SAN IGNACIO,6360.0,42
SAN FRANCISCO DE LA RAMADA,6323.0,42
SAN JOAQUIN,6341.0,42
SAN JOAQUIN,6360.0,42
SAN JOAQUIN METILEO,6367.0,42
SAN JOSE,6228.0,42
SAN JOSE,6313.0,42
SAN JOSE,6321.0,42
SAN JOSE,6354.0,42
SAN JOSE,6360.0,42
SAN ILDEFONSO,6365.0,42
SAN MANUEL,6352.0,42
SAN JOSE  ANGUIL,6326.0,42
SAN JUAN,6354.0,42
SAN JUAN,8212.0,42
SAN JUAN SIMSON,6212.0,42
SAN JUSTO,6330.0,42
SAN MARCELO,6214.0,42
SAN MIGUEL,6331.0,42
SAN MIGUEL,8212.0,42
SAN PEDRO,6330.0,42
SAN PEDRO ROLON,6305.0,42
SAN FRANCISCO,6319.0,42
SAN RAMON,6383.0,42
SAN ROBERTO,8201.0,42
SAN JOSE,8204.0,42
SAN FERNANDO,8204.0,42
SALINAS GRANDES  ANZOATEGUI,8138.0,42
SAN ERNESTO,8203.0,42
QUINTANA,6352.0,42
SAN SALVADOR,8201.0,42
RAMON QUINTAS,6303.0,42
RAMON SEGUNDO,6228.0,42
RANCUL,6214.0,42
REALICO,6200.0,42
RELMO,6331.0,42
REMECO,6311.0,42
REMECO,8212.0,42
RICARDO LAVALLE,6312.0,42
ROLON,6305.0,42
RUCAHUE,6331.0,42
RUCANELO,6381.0,42
SALINAS,8138.0,42
SALINAS GRANDES HIDALGO,6305.0,42
SALINAS MARI MANUEL,6309.0,42
SAN ALBERTO,6331.0,42
SAN ANDRES,6354.0,42
SAN ANTONIO,8203.0,42
SAN AQUILINO,8212.0,42
SAN BASILIO,6214.0,42
SAN BENITO,6331.0,42
SAN BERNARDO,8204.0,42
SAN CARLOS,6326.0,42
SAN DIEGO,8212.0,42
SAN EDUARDO,6330.0,42
SAN EMILIO,6321.0,42
SAN FELIPE,6305.0,42
SAN SIMON,8200.0,42
TRES NACIONES,8212.0,42
SANTA ANA,6309.0,42
TRES LAGUNAS,6228.0,42
TRIBULUCI,8212.0,42
TRILI,6365.0,42
TRUBULUCO,8212.0,42
TTE GRAL EMILIO MITRE,6381.0,42
UNANUE,8214.0,42
URIBURU,6354.0,42
UTRACAN,8203.0,42
VALLE ARGENTINO,6307.0,42
VALLE ARGENTINO,8200.0,42
VALLE DAZA,8200.0,42
VERTIZ,6365.0,42
VICTORICA,6319.0,42
VILLA ALBA,8206.0,42
VILLA MENCUELLE,8208.0,42
VILLA MIRASOL,6315.0,42
VILLA SAN JOSE,6315.0,42
VISTA ALEGRE,6323.0,42
WINIFREDA,6313.0,42
ZONA RURAL,6331.0,42
ZONA RURAL,6369.0,42
ZONA RURAL  METILEO,6367.0,42
ZONA RURAL DE MIRASOL,6315.0,42
ZONA RURAL DE VERTIZ,6365.0,42
ZONA RURAL DORILA,6365.0,42
ZONA URBANA NORTE,6380.0,42
QUIÑI MALAL,8200.0,42
TRES HERMANOS QUETREQUEN,6212.0,42
TRES HERMANOS MACACHIN,6307.0,42
TRES BOTONES,8212.0,42
TRENEL,6369.0,42
SANTA AURELIA,6239.0,42
SANTA CATALINA,6365.0,42
SANTA CLARA,8214.0,42
SANTA ELENA,6360.0,42
SANTA ELENA,8201.0,42
SANTA ELVIRA,6333.0,42
SANTA FELICITAS,6220.0,42
SANTA GRACIA,6212.0,42
SANTA INES,6360.0,42
SANTA ISABEL,6323.0,42
SANTA MARIA,8214.0,42
SANTA ROSA,6300.0,42
SANTA STELLA,6305.0,42
SAN URBANO,6228.0,42
SANTIAGO ORELLANO,6325.0,42
SANTO TOMAS,6307.0,42
SARAH,6228.0,42
SECCION PRIMERA CONHELLO,6383.0,42
SIERRAS DE LIHUEL CALEL,8200.0,42
SOL DE MAYO,6333.0,42
SPELUZZI,6365.0,42
TA HUILCO,6303.0,42
TELEN,6321.0,42
TOAY,6303.0,42
TOMAS M DE ANCHORENA,6301.0,42
TRAICO,8206.0,42
TRAICO GRANDE,8208.0,42
TREBOLARES,6361.0,42
SANTO DOMINGO,8203.0,42
QUETREQUEN,6212.0,42
LOTE 8 ESCUELA 141,6369.0,42
QUEHUE,8203.0,42
EL MIRADOR,8212.0,42
EL MATE,6321.0,42
EL MALACATE,6341.0,42
EL MADRIGAL,8200.0,42
EL LUCERO,8212.0,42
EL HUITRU,8201.0,42
EL MIRADOR DE JUAREZ,6300.0,42
EL GUANACO,6380.0,42
EL GUANACO,6205.0,42
EL GUAICURU,6352.0,42
EL FURLONG,6313.0,42
EL EUCALIPTO CARRO QUEMADO,6319.0,42
EL EUCALIPTO,6361.0,42
EL ESCABEL,8201.0,42
EL GUANACO,6313.0,42
EL DURAZNO,6319.0,42
EL NUEVE,8201.0,42
EL ODRE,6321.0,42
EL SAUCE,6361.0,42
EL SALITRAL,6352.0,42
EL RUBI,6352.0,42
EL RETIRO,6321.0,42
EL REFUGIO,6321.0,42
EL RECREO,6220.0,42
EL OASIS,6300.0,42
EL PUMA,8214.0,42
EL PORVENIR,6228.0,42
EL PIMIA,8214.0,42
EL PELUDO,6381.0,42
EL PARQUE,6331.0,42
EL PALOMAR,6305.0,42
EL OLIVO,6203.0,42
EL PORVENIR,8214.0,42
EL SILENCIO,6321.0,42
EL DIEZ Y SIETE,8201.0,42
EL DESTINO  ROLON,6305.0,42
DOS DE IPIÑA,8212.0,42
DOS CHAÑARES,8204.0,42
DOS AMIGOS,8212.0,42
DOS AMIGOS,6321.0,42
DORILA,6365.0,42
DOBLAS,6305.0,42
DOS VIOLETAS,8212.0,42
CURRU MAHUIDA,6323.0,42
CUCHILLO CO,8214.0,42
COTITA,8212.0,42
COSTA DEL SALADO,6321.0,42
CORONEL HILARIO LAGOS,6228.0,42
CONHELO,6381.0,42
CONA LAUQUEN,8212.0,42
CURILCO,6331.0,42
EL DIEZ,8201.0,42
EDUARDO CASTEX,6380.0,42
EL ANTOJO,6220.0,42
EL DESTINO,6381.0,42
EL DESTINO,6321.0,42
EL DESTINO,6313.0,42
EL DESLINDE,6305.0,42
EL DESCANSO  LONQUIMAY,6352.0,42
EL DESCANSO,8214.0,42
EL AGUILA,8138.0,42
EL CINCO,8201.0,42
EL CENTINELA,6323.0,42
EL CENTENARIO,6307.0,42
EL CARANCHO,8200.0,42
EL BRILLANTE,6352.0,42
EL BOQUERON,8200.0,42
EL BELGICA,6331.0,42
EL CHILLEN,6325.0,42
EL TAJAMAR,6205.0,42
EL TARTAGAL,8201.0,42
EL TIGRE,6203.0,42
LA ARAÑA,6301.0,42
LA ANTONIA,6307.0,42
LA ADMINISTRACION,8212.0,42
LA ADELA,8138.0,42
KILOMETRO 619,6381.0,42
JUZGADO VIEJO,6321.0,42
LA ASTURIANA,8201.0,42
JULIAN A MANSILLA,8201.0,42
JAGUEL DEL MONTE,6321.0,42
JAGUEL DEL ESQUINERO,6321.0,42
JACINTO ARAUZ,8208.0,42
IVANOWSKY,6330.0,42
IPIÑA,8212.0,42
INTENDENTE ALVEAR,6221.0,42
JARDON,6214.0,42
INGENIERO LUIGGI,6205.0,42
LA ATALAYA,6352.0,42
LA AVANZADA,6325.0,42
LA CATITA,8212.0,42
LA CATALINITA,6305.0,42
LA CATALINA,6354.0,42
LA CATALINA,6321.0,42
QUEMU QUEMU,6333.0,42
LA CAROLA,6326.0,42
LA AURORA,8200.0,42
LA CARMEN,6354.0,42
LA BLANCA,6330.0,42
LA BILBAINA,6345.0,42
LA BAYA MUERTA,6303.0,42
LA BAYA,6303.0,42
LA BARRANCOSA,6365.0,42
LA BANDERITA,8200.0,42
LA BOTA,8307.0,42
INGENIERO FOSTER,6385.0,42
INES Y CARLOTA,6315.0,42
HUELEN,6333.0,42
ESTANCIA LA PAMPEANA,6221.0,42
ESTANCIA LA LUCHA,6221.0,42
ESTABLECIMIENTO EL CENTINELA,6323.0,42
EPU PEL,8214.0,42
EMILIO MITRE,6323.0,42
EMBAJADOR MARTINI,6203.0,42
ESTANCIA LA VOLUNTAD,6221.0,42
EL VOLANTE,6303.0,42
EL VASQUITO,8206.0,42
EL UNO,8201.0,42
EL TRIUNFO,6352.0,42
EL TRIGO,8206.0,42
EL TRECE,8201.0,42
EL TORDILLO,6212.0,42
EL VERANEO,8200.0,42
EUSKADI,8201.0,42
EX ESCUELA HOGAR NRO 5,8200.0,42
