localidad,cp,id_prov_mstr
VERDE OLIVO,5276.0,46
VICHIGASTA,5374.0,46
VILLA BUSTOS,5301.0,46
VILLA CASANA,5471.0,46
VILLA CASTELLI,5355.0,46
VILLA CHEPES,5471.0,46
VILLA SANAGASTA,5301.0,46
VILLA NIDIA,5473.0,46
VILLA SAN JOSE DE VINCHINA,5359.0,46
VILLA SANTA RITA,5275.0,46
VILLA UNION,5350.0,46
VINCHINA,5357.0,46
VALLE HERMOSO,5471.0,46
VILLA MAZAN,5313.0,46
VALLE HERMOSO,5359.0,46
LOS OROS,5470.0,46
UDPINANGO,5311.0,46
EL PORTEZUELO,5385.0,46
EL POTRERILLO,5361.0,46
EL POTRERILLO,5385.0,46
EL POTRERILLO,5475.0,46
EL POTRERILLO R V PEÑALOZA,5475.0,46
EL POTRERO,5385.0,46
EL PUEBLITO,5327.0,46
EL PUESTO,5385.0,46
EL QUEBRACHAL,5383.0,46
EL QUEBRACHO,5301.0,46
EL QUEBRACHO,5383.0,46
EL QUEMADO,5380.0,46
EL QUEMADO,5475.0,46
EL RETAMAL,5385.0,46
EL RETAMO,5380.0,46
EL RETIRO,5325.0,46
EL RODEO,5471.0,46
EL ROSARIO,5263.0,46
EL TALA,5304.0,46
EL TALA,5471.0,46
EL VALDECITO,5473.0,46
EL VALLE,5301.0,46
EL VALLECITO,5360.0,46
EL VERDE,5275.0,46
EL ZAPALLAR,5353.0,46
EL PLUMERILLO,5300.0,46
EL PEDREGAL,5361.0,46
EL MOLLE,5350.0,46
EL MOLLAR,5381.0,46
EL CANTADERO,5300.0,46
EL CARRIZAL,5475.0,46
EL CARRIZAL,5475.0,46
EL CARRIZAL TAMA,5385.0,46
EL CATORCE,5474.0,46
EL CERCO,5475.0,46
EL CHIFLON,5386.0,46
EL CHOCOY,5361.0,46
EL CHUSCHIN,5361.0,46
EL CHUSCO,5276.0,46
EL CIENAGO,5275.0,46
EL CINCUENTA,5470.0,46
ESPERANZA DE LOS CERRILLOS,5263.0,46
EL CONDADO,5355.0,46
EL DIVISADERO,5470.0,46
EL DURAZNILLO,5300.0,46
EL ESCONDIDO,5301.0,46
EL ESTANQUITO,5301.0,46
EL FRAILE,5274.0,46
EL FUERTE,5351.0,46
EL GARABATO,5380.0,46
EL HORNO,5357.0,46
EL HUACO,5301.0,46
EL JUMEAL,5365.0,46
EL MEDANITO,5272.0,46
EL MEDANO,5263.0,46
EL CONSUELO,5274.0,46
EL CALDEN,5717.0,46
ESQUINA DEL NORTE,5380.0,46
ESQUINA GRANDE,5275.0,46
LA AGUADITA,5385.0,46
LA AMERICA,5473.0,46
LA ANTIGUA,5301.0,46
LA ARMONIA,5359.0,46
LA BANDA,5359.0,46
LA BANDA,5365.0,46
LA BUENA ESTRELLA,5301.0,46
LA BUENA SUERTE,5300.0,46
LA CALERA,5471.0,46
LA CALLANA,5471.0,46
LA CARRIZANA,5470.0,46
LA CHILCA,5473.0,46
LA CHIMENEA,5383.0,46
LA CIENAGA,5350.0,46
LA CIENAGA,5350.0,46
LA CIENAGA,5381.0,46
LA CONSULTA,5470.0,46
LA CUADRA,5361.0,46
LA DORA,5475.0,46
LA ENVIDIA,5473.0,46
LA ESCONDIDA,5471.0,46
LA ESPERANZA,5300.0,46
LA ESQUINA,5471.0,46
LA ESQUINA,5473.0,46
LA FLOR,5300.0,46
LA AGUADITA,5275.0,46
LA AGUADA,5470.0,46
KILOMETRO 921,5313.0,46
KILOMETRO 891,5313.0,46
ESTACION 69,5300.0,46
ESTACION MAZAN,5313.0,46
ESTANCIA DE MAIZ,5361.0,46
FALDA DE CITAN,5385.0,46
FAMATINA,5365.0,46
FLAMENCO,5300.0,46
FRANCISCO ORTIZ DE OCAMPO,5275.0,46
GOBERNADOR GORDILLO,5380.0,46
GUACHIN,5367.0,46
GUANDACOL,5353.0,46
GUAYAPA,5386.0,46
HUACO,5301.0,46
ESQUINA DEL SUD,5383.0,46
HUAJA,5385.0,46
ILIAR,5381.0,46
ILISCO,5471.0,46
ILLISCA,5471.0,46
ISMIANGO,5301.0,46
JAGUE,5359.0,46
JESUS MARIA,5300.0,46
KILOMETRO 619,5272.0,46
KILOMETRO 645,5276.0,46
KILOMETRO 682,5275.0,46
KILOMETRO 732,5717.0,46
KILOMETRO 861,5300.0,46
KILOMETRO 875,5300.0,46
HUNQUILLAL,5274.0,46
LA FLORIDA,5276.0,46
EL BORDO,5276.0,46
EL BARRIAL,5471.0,46
ANGULOS,5361.0,46
ANILLACO,5301.0,46
ANJULLON,5303.0,46
ANTINACO,5361.0,46
ARAUCO,5311.0,46
ATILES,5385.0,46
BAJO CORRAL DE ISAAC,5473.0,46
BAJO DE GALLO,5386.0,46
BAJO GRANDE,5383.0,46
BAJO HONDO,5300.0,46
BAJO HONDO,5473.0,46
BAJO JAGUEL,5359.0,46
BALDE DEL QUEBRACHO,5473.0,46
BALDE SALADO,5274.0,46
BALDE SALADO,5383.0,46
BALDE SAN ISIDRO,5386.0,46
BALDES DE PACHECO,5276.0,46
BAÑADOS DEL PANTANO,5310.0,46
BANDA FLORIDA,5351.0,46
BARRANQUITAS,5474.0,46
BARRIO DE GALLI,5361.0,46
BAYO MUERTO,5470.0,46
BAZAN,5300.0,46
BELLA VISTA,5381.0,46
BOCA DE LA QUEBRADA,5359.0,46
ANGUINAN,5363.0,46
ANDOLUCAS,5329.0,46
