localidad,cp,id_prov_mstr
PORTILLO AGUA DE TORO,5545.0,50
PORTILLO CANALES,5569.0,50
PORTEZUELO CHOIQUE,5613.0,50
PONCE,5594.0,50
PO DEL HUANACO,5613.0,50
PO PEHUENCHE,5613.0,50
PO VALLE HERMOSO,5539.0,50
PO MALLAN,5613.0,50
PO MAIPU,5569.0,50
PO DEL RUBIO,5539.0,50
PORTILLO CRUZ DE PIEDRA,5569.0,50
POLVAREDAS,5551.0,50
PORTILLO DE COLINA,5569.0,50
PORTILLO DEL DIABLO,5560.0,50
PORTILLO DE LA G  DEL CAMINO,5569.0,50
PORTILLO DE LA LAGRIMA VIVA,5539.0,50
PORTILLO DEL VIENTO,5569.0,50
PORTILLO DE LA YESERA,5569.0,50
PORTILLO DE LAS CABEZAS,5569.0,50
PORTILLO DE LAS VACAS,5539.0,50
PORTILLO DE LOMAS COLORADAS,5539.0,50
PORTILLO DE PINQUENES,5560.0,50
PORTILLO DEL TIGRE,5539.0,50
PORTILLO DEL MEDIO,5539.0,50
PORTILLO DEL NORTE,5539.0,50
PORTILLO DEL PAPAL,5569.0,50
PO DE LOS ESCALONES,5569.0,50
PORTILLO DE INDIO,5539.0,50
PO DE LA QUEBRADA HONDA,5539.0,50
PASO LOS PALOS,5560.0,50
PO DE CONTRABANDISTA,5539.0,50
PASO DE LOS ANDES,5503.0,50
PORTILLO LA PAMPA,5539.0,50
PASO DE LAS CARRETAS,5569.0,50
PASO DE LOS GAUCHOS,5636.0,50
PASO DEL CISNE,5533.0,50
PASO HONDO,5541.0,50
PATA MORA,5613.0,50
PATIMALAL,5613.0,50
PAULINO MATURA,5590.0,50
PAYUN,5613.0,50
PEDREGAL,5529.0,50
PEDRO CASTELU,5590.0,50
PEDRO PABLO PEREZ,5590.0,50
PO DE LA CUMBRE,5539.0,50
PEDRO VARGAS,5603.0,50
PERDRIEL,5509.0,50
PETROLEO,5549.0,50
PHILLIPS,5579.0,50
PICHI CIEGO ESTACION FCGSM,5594.0,50
PICOS BAYOS,5569.0,50
PIEDRA DE AFILAR,5615.0,50
PIEDRAS BLANCAS,5569.0,50
PIRCAS DE OSORIO,5569.0,50
PIRQUITA EMBARCADERO FCGSM,5590.0,50
PLAZA DE MULAS,5500.0,50
PO ALVARADO NORTE,5569.0,50
PO ALVARADO SUR,5569.0,50
PO AMARILLO,5569.0,50
PEÑA,5594.0,50
PORTILLO OCCIDENTAL DEL BAYO,5569.0,50
PUESTO F TELLO,5569.0,50
PORTILLO QUEMADO,5539.0,50
PUESTO DE LA CORONA,5636.0,50
PUESTO DE LA SALADA,5569.0,50
PUESTO DE LAS CARRETAS,5590.0,50
PUESTO DE LAS TROPAS,5590.0,50
PUESTO DE OLGUIN,5590.0,50
PUESTO DE OROZCO,5590.0,50
PUESTO DE PETRA,5590.0,50
PUESTO DE SOSA,5590.0,50
PUESTO DEL BUEN PASTOR,5636.0,50
PUESTO DEL CHAÑACAL,5590.0,50
PUESTO EL CARRIZALITO,5569.0,50
PUESTO EL JAGUAL,5569.0,50
PUESTO EL JILGUERO,5600.0,50
PUESTO DE GARRO,5590.0,50
PUESTO EL MANZANO,5560.0,50
PUESTO EL PICHON,5533.0,50
PUESTO EL RETAMITO,5590.0,50
PUESTO EL TOTORAL,5539.0,50
PUESTO EL TRUENO,5594.0,50
PUESTO ESCONDIDO,5539.0,50
PUESTO GARCIA,5594.0,50
PUESTO GENDARMERIA NACIONAL PO,5613.0,50
PUESTO GENTILE,5611.0,50
PUESTO GUAMPARITO,5539.0,50
PUESTO HORQUETA,5569.0,50
PUESTO ISLA CHAÑAR,5435.0,50
PASO DE LAS CANOAS,5590.0,50
PUESTO J ALVAREZ,5569.0,50
PUESTO EL PERAL,5539.0,50
PORTILLO PEDERNALES,5569.0,50
PUESTO CHAMBON,5539.0,50
PUESTO CANALES,5569.0,50
POSTA DE HIERRO,5621.0,50
POSTE DE FIERRO,5621.0,50
POTRERILLOS,5549.0,50
POTRERO SAN PABLO,5560.0,50
PRIMAVERA,5525.0,50
PROGRESO,5535.0,50
PTA DEL AGUA VIEJA,5600.0,50
PTO LOS AMARILLOS,5636.0,50
PUEBLO DIAMANTE,5600.0,50
PUEBLO ECHEVARRIETA,5603.0,50
PUEBLO LUNA,5632.0,50
PUEBLO SOTO,5600.0,50
PUENTE DEL INCA,5555.0,50
PUESTO CARRIZALITO,5539.0,50
PUENTE VIEJO,5590.0,50
PUERTO HORTENSA,5533.0,50
PUERTO RINCON ESCALONA,5613.0,50
PUESTA EL CAVADO,5600.0,50
PUESTO A MARTINEZ,5569.0,50
PUESTO AGUA AMARGA,5613.0,50
PUESTO AGUA DE LA LIEBRE,5600.0,50
PUESTO AGUA DE LA MERINA,5613.0,50
PUESTO AGUA DE LA ZORRA,5569.0,50
PUESTO AGUA DE ZANJON,5539.0,50
PUESTO AGUA DEL MEDANO,5600.0,50
PUESTO ALFARFA,5561.0,50
PUESTO ALGARROBO GRANDE,5533.0,50
PUESTO ATAMISQUI,5613.0,50
PUERTA DE LA ISLA,5590.0,50
PASCUAL SOSA,5590.0,50
LOS ROSETI,5590.0,50
PARAMILLO DE LAS VACAS,5500.0,50
LUNLUNTA,5517.0,50
