localidad,cp,id_prov_mstr
LARRAQUE,3384.0,54
LAS FLORES,3338.0,54
LAS BANANERAS,3353.0,54
LAPACHO,3337.0,54
ROCA CHICA,3324.0,54
LA POSTA,3384.0,54
LA PLANTADORA,3322.0,54
LA OTILIA,3328.0,54
LAS MANDARINAS,3353.0,54
LA ROTONDA,3300.0,54
LA MISIONERA,3384.0,54
LAS MERCEDES,3364.0,54
LAS TUNAS,3350.0,54
MACHADIÑO,3353.0,54
MAI BAO,3363.0,54
MANANTIALES,3306.0,54
MANIS,3327.0,54
MANUEL BELGRANO,3338.0,54
MARIA ANTONIA,3322.0,54
MARIA MAGDALENA,3381.0,54
MARIANO MORENO,3338.0,54
MBOPICUA,3332.0,54
MECKING,3315.0,54
MESA REDONDA,3364.0,54
MIGUEL GUEMES,3364.0,54
MIGUEL LANUS,3304.0,54
MILAGRO,3337.0,54
MOCONA,3364.0,54
MACACO,3384.0,54
LAS QUEMADAS,3309.0,54
MACACA,3384.0,54
LOTE 5,3318.0,54
LAS VERTIENTES,3300.0,54
LEANDRO N ALEM,3315.0,54
LECHUZA,3338.0,54
LIBERTAD,3374.0,54
LINEA CUCHILLA,3334.0,54
LINEA DE PERAY,3384.0,54
LOMA PORA,3337.0,54
LORETO,3316.0,54
LOS GALPONES,3353.0,54
LOS HELECHOS,3361.0,54
LOS TEALES,3328.0,54
LOTE 117,3317.0,54
LOTE 117,3351.0,54
LOTE 12,3316.0,54
LOTE 25,3327.0,54
LUJAN,3364.0,54
LA MILAGROSA,3300.0,54
LA INVERNADA,3309.0,54
LA HORQUETA,3322.0,54
FRIGO,3337.0,54
FRONTERAS,3364.0,54
GARUHAPE,3334.0,54
GARUPA,3304.0,54
GARUPA NORTE,3304.0,54
GENERAL ALVEAR,3361.0,54
GENERAL URQUIZA,3326.0,54
GOBERNADOR LANUSSE,3376.0,54
GOBERNADOR LOPEZ,3315.0,54
GOBERNADOR ROCA,3324.0,54
GRAL GUEMES,3313.0,54
GUAIBICHU,3364.0,54
GUARANI,3361.0,54
GUARAYPO,3384.0,54
GUAYABERA,3361.0,54
FRAY LUIS BELTRAN,3338.0,54
GUERRERO,3357.0,54
FRANCES,3357.0,54
FRACRAN,3364.0,54
EL SOBERBIO,3364.0,54
EL SOCORRO,3364.0,54
EL TIGRE,3364.0,54
EL TRIUNFO,3322.0,54
EL TROPEZON,3300.0,54
ELDORADO,3380.0,54
ENSANCHE ESTE,3350.0,54
ENSANCHE NORTE,3350.0,54
ESTACION APOSTOLES,3358.0,54
ESTACION EXPERIMENTAL DE LORET,3322.0,54
ESTANCIA ITAEMBE,3300.0,54
ESTANCIA SANTA RITA,3384.0,54
FACHINAL,3304.0,54
FILEMON POSSE,3363.0,54
FLORENTINO AMEGHINO,3361.0,54
FRAGA CUE,3353.0,54
HEKENAN,3327.0,54
HIPOLITO YRIGOYEN,3328.0,54
INDUMAR,3337.0,54
KILOMETRO 538,3306.0,54
KILOMETRO 546,3306.0,54
KILOMETRO 577,3304.0,54
KILOMETRO 595,3300.0,54
KILOMETRO 60,3384.0,54
KILOMETRO 78,3315.0,54
KILOMETRO 8,3361.0,54
KM 1230,3337.0,54
KM 1246,3337.0,54
KM 1247,3337.0,54
KM 18,3338.0,54
KM1228,3337.0,54
LA BONITA,3338.0,54
LA CAPILLA,3350.0,54
LA FLOR,3364.0,54
KILOMETRO 4,3361.0,54
KILOMETRO 34,3384.0,54
KILOMETRO 286,3364.0,54
KILOMETRO 26,3357.0,54
INTEGRACION,3337.0,54
INTEGRACION,3366.0,54
INVERNADA CHICA,3353.0,54
INVERNADA DE ITACARUARE,3353.0,54
INVERNADA GRANDE,3353.0,54
INVERNADA SAN IGNACIO,3322.0,54
ISLA ARGENTINA,3353.0,54
MOJON GRANDE,3315.0,54
ISLA SAN LUCAS,3355.0,54
