localidad,cp,id_prov_mstr
TRES CHORROS,8353.0,58
ZINGONE Y CIA M,8375.0,58
EL PALAO,8347.0,58
EL PERALITO,8351.0,58
EL PINO ANDINO,8349.0,58
EL PORTON,8353.0,58
EL PORVENIR,8370.0,58
EL SALADO,8351.0,58
EL SALITRAL,8375.0,58
EL SAUCE,8313.0,58
EL TROMEN,8353.0,58
EL TROPEZON,8340.0,58
EL OVERO,8340.0,58
ESPINAZO DEL ZORRO,8341.0,58
ESTANCIA NEWBERY,8401.0,58
ESTANCIA TEQUEL MALAL,8401.0,58
FILMATUE,8353.0,58
FILO HUA HUM,8370.0,58
FLORES,8353.0,58
FORTIN 1 DE MAYO,8341.0,58
FORTIN GUAÑACOS,8353.0,58
FRANHUCURA,8351.0,58
GENTE GRANDE,8379.0,58
GOÑI CO,8340.0,58
ESTANCIA LA PRIMAVERA,8403.0,58
EL OASIS,8370.0,58
EL MANZANO,8403.0,58
EL MACHETE,8407.0,58
COVUNCO,8340.0,58
COVUNCO ABAJO,8351.0,58
COVUNCO ARRIBA,8340.0,58
COVUNCO CENTRO,8351.0,58
COYUCO COCHICO,8353.0,58
CUCHILLO CURA,8347.0,58
CULLIN MANZANO,8401.0,58
CURA CO,8353.0,58
CURU  LEUVU,8353.0,58
CUTRAL CO,8322.0,58
EL ALAMITO,8353.0,58
EL ARBOLITO,8407.0,58
EL ATRAVESADO,8347.0,58
EL BOSQUE,8349.0,58
EL CERRITO,8370.0,58
EL CHINGUE,8353.0,58
EL CHOLAR,8353.0,58
EL CURILEO,8353.0,58
EL DORMIDO,8341.0,58
EL DURAZNO,8353.0,58
EL ESCORIAL,8347.0,58
EL GATO,8341.0,58
EL HUECU,8349.0,58
GUAÑACOS,8353.0,58
COSTA LIMAY,8315.0,58
HAICHOL,8347.0,58
HAYCU,8349.0,58
LA FORTUNA,8370.0,58
LA FRIA,8340.0,58
LA ISABEL,8340.0,58
LA LIPELA,8401.0,58
LA NEGRA,8375.0,58
LA OFELIA,8341.0,58
LA PATAGONIA,8340.0,58
LA PATRIA,8340.0,58
LA PICAZA,8340.0,58
LA PINTADA,8315.0,58
LA ESTACADA,8401.0,58
LA POCHOLA,8340.0,58
LA PRIMAVERA,8353.0,58
LA RINCONADA,8375.0,58
LA SALADA,8353.0,58
LA SUSANA,8340.0,58
LA TERESA,8315.0,58
LA TERESA,8340.0,58
LA UNION,8371.0,58
LA VERDAD,8347.0,58
LAGO LOLOG,8370.0,58
LAGO ÑORQUINCO,8345.0,58
LA PORTEÑA,8347.0,58
LA CIENEGUITA,8353.0,58
LA CIENAGA,8353.0,58
LA BUITRERA,8347.0,58
HUA HUM,8370.0,58
HUALCUPEN,8349.0,58
HUANTRAICO,8353.0,58
HUARACO,8353.0,58
HUARENCHENQUE,8349.0,58
HUECHAHUE,8375.0,58
HUECHULAFQUEN,8371.0,58
HUILLILON,8347.0,58
HUINCA LU,8403.0,58
HUINGANCO,8353.0,58
HUITRIN,8353.0,58
HUMIGAMIO,8353.0,58
HUNCAL,8351.0,58
ISLA VICTORIA,8400.0,58
JECANASCO,8353.0,58
JUARANCO,8353.0,58
JUNIN DE LOS ANDES,8371.0,58
KILCA CASA,8345.0,58
LA ANGOSTURA DE ICALMA,8345.0,58
LA ARAUCARIA,8401.0,58
LA ARBOLEDA,8341.0,58
LA ARGENTINA,8349.0,58
LA ATALAYA,8371.0,58
HARAS PATRIA,8345.0,58
LAGO PULMARI,8345.0,58
COSTA DEL ARROYO SALADO,8351.0,58
CORRAL DE PIEDRA,8347.0,58
BALSA SENILLOSA,8316.0,58
BARDA ANGUIL,8340.0,58
BARDA NEGRA,8340.0,58
BARRANCAS,8353.0,58
BATRE LAUQUEN,8353.0,58
BELLA VISTA,8353.0,58
BUENA ESPERANZA,8360.0,58
BUTA CO,8353.0,58
BUTA MALLIN,8353.0,58
BUTA RANQUIL,8353.0,58
BALSA DEL RIO AGRIO,8351.0,58
BUTALON,8353.0,58
CAICHIHUE,8340.0,58
CAJON DE ALMAZA,8349.0,58
CAJON DE LOS PATOS,8349.0,58
CAJON DE MANZANO,8349.0,58
CAJON DEL TORO,8347.0,58
CAJON GRANDE,8353.0,58
CALEUFU,8373.0,58
CALIHUE,8347.0,58
CAMALEONES,8353.0,58
CAMINERA,8370.0,58
CAEPE MALAL,8353.0,58
BALNEARIO DEL RIO AGRIO,8351.0,58
BAJADA DEL MARUCHO,8340.0,58
