localidad,cp,id_prov_mstr
EL GAUCHO POBRE,8417.0,62
YAMINUE,8534.0,62
EL CACIQUE,8417.0,62
EL CAIN,8422.0,62
EL CAMARURO,8417.0,62
EL CHEIFUL,8418.0,62
EL CONDOR ESTANCIA,8400.0,62
EL CUY,8333.0,62
EL DIQUE,8500.0,62
EL FOYEL,8401.0,62
EL JARDINERO,8417.0,62
EL MANSO,8430.0,62
EL MANZANO,8328.0,62
EL MOLIGUE,8418.0,62
EL PANTANOSO,8412.0,62
EL PORVENIR,8503.0,62
EL SALADO,8536.0,62
EMPALME KILOMETRO 648,8418.0,62
ESTANCIA LAS JULIAS,8363.0,62
EL BOLSON,8430.0,62
FALCKNER,8534.0,62
DINA HUAPI,8402.0,62
CURA LAUQUEN,8417.0,62
CONA NIYEU,8521.0,62
CONTRALMIRANTE CORDERO,8301.0,62
CONTRALMIRANTE M GUERRICO,8328.0,62
COQUELEN,8416.0,62
CORONEL EUGENIO DEL BUSTO,8138.0,62
CORONEL FRANCISCO SOSA,8503.0,62
CORONEL JUAN JOSE GOMEZ,8333.0,62
CORONEL VIDAL,8305.0,62
CORRAL DE LOS PINOS,8412.0,62
CORRALITO,8403.0,62
COS ZAURES,8307.0,62
COSTA DEL RIO AZUL,8430.0,62
COSTAS DEL PICHI LEUFU,8412.0,62
CUATRO ESQUINAS,8324.0,62
CUBANEA,8501.0,62
CUENCA VIDAL,8301.0,62
CUESTA DEL TERNERO,9210.0,62
DARWIN,8364.0,62
COMI CO,8424.0,62
FERRI,8301.0,62
FITALANCAO,8415.0,62
JUAN DE GARAY,8138.0,62
KILI MALAL,8417.0,62
KILOMETRO 1218,8305.0,62
KRAUSE INGENIERO OTTO,8336.0,62
LA ADELA,8138.0,62
LA ALIANZA,8324.0,62
LA ANGOSTURA,8417.0,62
LA BOMBILLA,8520.0,62
LA CAROLINA,8503.0,62
LA CHILENA,8417.0,62
LA CRIOLLITA,8417.0,62
LA ELVIRA,8360.0,62
LA EMILIA,8324.0,62
LA ESMERALDA,8324.0,62
LA ESPERANZA,8534.0,62
LA ESTANCIA VIEJA,8324.0,62
LA ESTRELLA,8417.0,62
JITA RUSIA,8417.0,62
FITA RUIN,8418.0,62
JAG\\u00dcEL CAMPO MONTE,8520.0,62
ISLA CHICA,8363.0,62
FITAMICHE,8415.0,62
FITATIMEN,8415.0,62
FORTIN UNO,8360.0,62
GANZU LAUQUEN,8424.0,62
GENERAL CONESA,8503.0,62
GENERAL ENRIQUE GODOY,8336.0,62
GENERAL FERNANDEZ ORO,8324.0,62
GENERAL LIBORIO BERNAL,8500.0,62
GENERAL ROCA,8332.0,62
GUARDIA MITRE,8505.0,62
HUA MICHE,8417.0,62
HUAN LUAN,8418.0,62
INGENIERO HUERGO,8334.0,62
INGENIERO JACOBACCI,8418.0,62
INGENIERO ZIMMERMANN RESTA,8416.0,62
INGENIO SAN LORENZO,8503.0,62
IRIS,8324.0,62
ISLA GRANDE,8361.0,62
LA EXCURRA,8417.0,62
COMALLO ABAJO,8416.0,62
COLONIA SAN JUAN,8503.0,62
ATRAICO,8418.0,62
BAHIA CREEK,8501.0,62
BAJO DEL GUALICHO,8520.0,62
BAJO RICO,8360.0,62
BALNEARIO EL CONDOR,8501.0,62
BALNEARIO LAS GRUTAS,8521.0,62
BARDA COLORADA,8333.0,62
BARDA DEL MEDIO,8305.0,62
BARRIL NIYEO,8422.0,62
BARRIO LAGUNA,8520.0,62
BARRIO NORTE,8328.0,62
BELISLE CORONEL,8364.0,62
BENJAMIN ZORRILLA,8360.0,62
BOCA DE LA TRAVESIA,8505.0,62
CALTRAUNA,8424.0,62
CAMPANA MAHUIDA,8532.0,62
CAÑADON CAMALLO,8416.0,62
ARROYO VERDE,8521.0,62
CAÑADON CHILENO,8417.0,62
ARROYO TEMBRAO,8521.0,62
ARROYO LOS BERROS,8521.0,62
YUQUINCHE,8418.0,62
6 DE OCTUBRE,8134.0,62
AGUADA CECILIO,8534.0,62
AGUADA DE GUERRA,8424.0,62
AGUADA DE LOS PAJARITOS,8301.0,62
AGUADA DE PIEDRA,8422.0,62
AGUADA DEL LORO,8520.0,62
AGUADA GUZMAN,8333.0,62
AGUARA,8307.0,62
ALANITOS,8333.0,62
ALLEN,8328.0,62
ANECON CHICO,8418.0,62
ANECON GRANDE,8416.0,62
ARROYO BLANCO,8403.0,62
ARROYO CHACAY,8401.0,62
ARROYO DE LA VENTANA,8521.0,62
ARROYO LAS MINAS,8415.0,62
ARROYO SALADO,8532.0,62
COMALLO,8416.0,62
CAÑADON DEL CORRAL,8412.0,62
CARHUE,8412.0,62
CHIPAUQUIL,8536.0,62
CHOCORI,8503.0,62
CHOELE CHOEL,8360.0,62
CHURQUIÑEO,8412.0,62
CINCO CHAÑARES,8520.0,62
CINCO SALTOS,8303.0,62
CLEMENTE ONELLI,8416.0,62
COLAN CONHUE,8418.0,62
COLI TORO,8418.0,62
COLONIA ALTE GUERRICO,8307.0,62
COLONIA EL MANZANO,8305.0,62
COLONIA GENERAL FRIAS,8501.0,62
COLONIA JOSEFA,8363.0,62
COLONIA JULIA Y ECHARREN,8138.0,62
COLONIA LA LUISA,8503.0,62
COLONIA REGINA,8336.0,62
COLONIA RUSA,8332.0,62
CHINA MUERTA,8504.0,62
CANLLEQUIN,8417.0,62
CHIMPAY,8364.0,62
CHICHIHUAO,8422.0,62
CARRI YEGUA,8417.0,62
CARRILAUQUEN,8418.0,62
CASA QUEMADA,8412.0,62
CASCADA LOS CANTAROS,8411.0,62
CATRIEL,8307.0,62
CERRO ABANICO,8424.0,62
CERRO ALTO,8403.0,62
CERRO MESA,8415.0,62
CERRO POLICIA,8333.0,62
CERVANTES,8326.0,62
CHACALHUA RUCA,8415.0,62
CHACAY HUARRUCA,8415.0,62
CHACRAS DE ALLEN,8328.0,62
CHAIFUL,8418.0,62
CHASICO,8417.0,62
CHELFORO,8366.0,62
CHENQUENIYEU,8412.0,62
CHICHINALES,8326.0,62
LA FLECHA,8503.0,62
CIPOLLETTI,8324.0,62
LA JULIA,8363.0,62
PUESTO FARIA,8360.0,62
PUESTO GAVIÑA,8503.0,62
PUNTA DE AGUA,8536.0,62
QUEMPU NIYEU,8332.0,62
QUENTREQUILE,8418.0,62
QUINTA PANAL,8416.0,62
RAYHUAO,8412.0,62
REPOLLOS,8415.0,62
RINCON DE GASTRE,8503.0,62
RINCONADA,8360.0,62
RIO CHICO,8415.0,62
RIO COLORADO,8138.0,62
RIO SALADO,8134.0,62
RIO VILLEGAS,8401.0,62
RUCU LUAN,8422.0,62
SACO VIEJO,8514.0,62
SALITRAL NEGRO,8363.0,62
PUERTO TIGRE ISLA VICTORIA,8400.0,62
SAN ANTONIO OESTE,8520.0,62
PUERTO SAN ANTONIO ESTE,8521.0,62
PUERTO BLEST,8411.0,62
PICHI LEUFU,8412.0,62
PICHI LEUFU ABAJO,8412.0,62
PICHI LEUFU ARRIBA,8412.0,62
PICHI MAHUIDA,8138.0,62
PILAHUE,8417.0,62
PILCANIYEU,8412.0,62
PILQUINIYEU,8416.0,62
PILQUINIYEU DEL LIMAY,8412.0,62
PLANICIE DE JAGUELITO,8333.0,62
PLAYA BONITA,8400.0,62
PLAYAS DORADAS,8532.0,62
POMONA,8363.0,62
