localidad,cp,id_prov_mstr
SALADILLO,4434.0,66
SALADILLO,4430.0,66
SALADILLO DE JUAREZ,4448.0,66
SAN ALEJO,4401.0,66
SACHA PERA,4440.0,66
S JOLLIN,4560.0,66
RUMIUARCO,4427.0,66
SALADILLO,4415.0,66
SALADILLO DE OSMA,4421.0,66
SALVADOR MAZZA,4568.0,66
SALAR DE POCITOS,4413.0,66
SALAR DEL HOMBRE MUERTO,4419.0,66
SALAZAR,4126.0,66
SALTA,4400.0,66
SAN ANTONIO,4427.0,66
SALTA FORESTAL KILOMETRO 50,4449.0,66
SAN AGUSTIN,4193.0,66
SAN ANDRES,4530.0,66
RUMIHUASI,4419.0,66
SAN AGUSTIN,4421.0,66
SALAR DE HOMBRE MUERTO,4419.0,66
RUMIHUASI,4417.0,66
RIO PESCADO,4530.0,66
ROSARIO FUNCA,4190.0,66
RIO COLORADO,4530.0,66
RIO CARAPAN,4566.0,66
SAN ANTONIO,4427.0,66
RIO BLANCO,4417.0,66
RIO DE LAS PIEDRAS,4530.0,66
RIO DEL VALLE,4449.0,66
RIO LAVALLEN,4432.0,66
RIO PIEDRAS,4434.0,66
RIO SECO,4552.0,66
RIO TORO,4417.0,66
RIO URUEÑA,4193.0,66
RIVADAVIA,4535.0,66
ROCA,4452.0,66
RODEO COLORADO,4633.0,66
RODEO GRANDE,4432.0,66
RODEO PAMPA,4651.0,66
RODEOS,4403.0,66
ROSALES,4446.0,66
ROSARIO DE LA FRONTERA,4190.0,66
ROSARIO DE LERMA,4405.0,66
ROSARIO DEL DORADO,4449.0,66
RUIZ DE LOS LLANOS,4126.0,66
SAN ANTONIO,4530.0,66
SAN JUAN DE ORO,4651.0,66
SAN ANTONIO CHICOANA,4421.0,66
SAN JOAQUIN,4423.0,66
SAN JOAQUIN,4535.0,66
SAN JORGE,4448.0,66
SAN JOSE,4421.0,66
SAN JOSE DE COLTE,4419.0,66
SAN JOSE DE ESCALCHI,4419.0,66
SAN JOSE DE LA VIÑA,4423.0,66
SAN JOSE DE ORQUERAS,4446.0,66
SAN JUAN,4193.0,66
SAN JUAN,4446.0,66
SAN JUAN,4633.0,66
SAN LAURENCIO,4560.0,66
SAN LEON,4651.0,66
