localidad,cp,id_prov_mstr
RINCON DE LA OLLITA,5467.0,70
REFUGIO LOS GAUCHOS,5409.0,70
RINCON DE LA BREA,5467.0,70
RINCON COLORADO,5460.0,70
RINCON CHICO,5447.0,70
RINCON,5460.0,70
RINCON,5442.0,70
RICHARD,5447.0,70
RETAMITO,5435.0,70
REFUGIO D P V,5409.0,70
QUINTO CUARTEL,5427.0,70
REFUGIO,5447.0,70
RANCHOS DE FAMACOA,5415.0,70
RAMBLON,5435.0,70
QUIROGA,5435.0,70
QUILINQUIL,5467.0,70
PUNTILLA NEGRA,5439.0,70
PUNTILLA BLANCA,5443.0,70
PUNTILLA BLANCA,5439.0,70
PUNTILLA,5443.0,70
PUNTA NORTE,5447.0,70
REFUGIO,5467.0,70
RINCON DE LOS CHINCHILLEROS,5467.0,70
SANTA CLARA,5425.0,70
RINCON GRANDE,5447.0,70
SANTA CLARA,5431.0,70
SANTA BARBARA,5409.0,70
SANJUANINO,5447.0,70
SANCHEZ DE LORIA,5427.0,70
SAN ROQUE,5409.0,70
SAN MARTIN,5439.0,70
SAN JUAN BAUTISTA USNO,5449.0,70
SAN JUAN,5400.0,70
SAN ISIDRO,5461.0,70
SAN ISIDRO,5439.0,70
SAN CARLOS,5446.0,70
SAN CARLOS,5435.0,70
SAN ANTONIO,5449.0,70
SAN ANTONIO,5443.0,70
SAN AGUSTIN DEL VALLE FERTIL,5449.0,70
RUTA 20 KILOMETRO 114,5401.0,70
RUINAS INDIGENAS,5467.0,70
RODEO,5465.0,70
RIVADAVIA,5400.0,70
RIO SASO,5407.0,70
RIO PALO,5460.0,70
RINCONES,5449.0,70
RINCONADA,5429.0,70
RINCON DEL GATO,5460.0,70
PUNTA DEL MONTE,5415.0,70
PTO SANTA ROSA DE ABAJO,5405.0,70
PUNTA DEL MEDANO,5435.0,70
PTO POTRERILLO,5460.0,70
PTO PORTEZUELO HONDO,5460.0,70
PTO PIMPA,5460.0,70
PTO PESCADO,5460.0,70
PTO PERICO,5460.0,70
PTO PANTANITO,5460.0,70
PTO PAJARITO,5460.0,70
PTO MAJADITA,5460.0,70
PTO LOS POZOS,5460.0,70
PTO LOS PAPAGALLOS,5401.0,70
PTO PUNILLA,5460.0,70
PTO LOS ALAMOS,5460.0,70
PTO LAS CUEVAS,5401.0,70
PTO LA VIRGENCITA,5460.0,70
PTO LA TUNA,5460.0,70
PTO LA REPRESA,5460.0,70
PTO LA ESPINA,5460.0,70
PTO LA CORTADERA,5460.0,70
PTO LA CHILCA,5460.0,70
PTO HUASI,5447.0,70
SANTA LUCIA,5411.0,70
PTO GORDILLO,5447.0,70
PTO LIMA,5447.0,70
PTO RECREO,5460.0,70
PTO ROMERO,5447.0,70
PTO SABATO,5460.0,70
PUNTA DE LAGUNA,5435.0,70
PUNTA DE AGUA,5463.0,70
PUNTA BLANCA,5447.0,70
PUESTO SANTA ROSA,5431.0,70
PUESTO RETIRO,5431.0,70
PUESTO OLGUIN,5431.0,70
PUESTO LA CHILCA DE ABAJO,5431.0,70
PUESTO DE ARRIBA,5431.0,70
PUESTO ANGOSTURA,5431.0,70
