localidad,cp,id_prov_mstr
PISCOYACO,5775.0,74
PIZARRAS BAJO VELEZ,5777.0,74
PLACILLA,6277.0,74
PLANTA DE SANDIA,5753.0,74
PLUMERITO,5637.0,74
POCITOS,5715.0,74
POLLEDO,6216.0,74
PORTADA DEL SAUCE,5741.0,74
POZO DEL CARRIL,5703.0,74
POZO CERCADO,5721.0,74
PORVENIR,5835.0,74
POSTA DE FIERRO,5831.0,74
POSTA DEL PORTEZUELO,5705.0,74
POTRERILLO,5753.0,74
POZO DE LAS RAICES,5777.0,74
POZO CAVADO,5705.0,74
POZO DE LOS RAYOS,5705.0,74
PIQUILLINES,5835.0,74
PORTEZUELO,5719.0,74
POTRERO DE LOS FUNES,5701.0,74
PASO JUAN GOMEZ,5701.0,74
PIEDRAS ANCHAS,5755.0,74
PASO DE LOS GAUCHOS,6216.0,74
PASO DE PIEDRA,5707.0,74
POZO DEL ESPINILLO,5703.0,74
PASO DE LOS BAYOS,5721.0,74
PASO DEL MEDIO,5711.0,74
PASO DEL REY,5701.0,74
PASO GRANDE,5753.0,74
PASO LOS ALGARROBOS,5724.0,74
PASTAL,5707.0,74
PATIO LIMPIO,5713.0,74
PEDERNERA,5730.0,74
PENICE,6279.0,74
PEÑON COLORADO,5707.0,74
PESCADORES,5700.0,74
PICOS YACU,5777.0,74
PIE DE LA CUESTA,5711.0,74
PIEDRA BLANCA,5881.0,74
PIEDRA BOLA,5753.0,74
PIEDRA LARGA,5753.0,74
PIEDRA ROSADA,5753.0,74
PIEDRA SOLA,5753.0,74
PIEDRAS BLANCAS,5750.0,74
POZO DEL MEDIO,5715.0,74
QUEBRADA DEL TIGRE,5711.0,74
POZO DEL TALA,5703.0,74
PUNTA DEL AGUA,5873.0,74
PUNTA DEL ALTO,5773.0,74
PUNTA DEL CERRO,5721.0,74
PUNTOS DE AGUA,5721.0,74
PUNTOS DE LA LINEA,5711.0,74
QUEBRACHITO,5713.0,74
QUEBRADA DE LA BURRA,5701.0,74
QUEBRADA DE LA MORA,5755.0,74
QUEBRADA DE LOS BARROSOS,5753.0,74
PUNTA DE LA SIERRA,5719.0,74
QUEBRADA DE SAN VICENTE,5755.0,74
QUINES,5711.0,74
RAMADITA,5705.0,74
RAMBLONES,5705.0,74
RANQUELCO,6216.0,74
REAL,5831.0,74
RECONQUISTA,5707.0,74
REFORMA CHICA,5724.0,74
