localidad,cp,id_prov_mstr
EL LORO,9051.0,78
EL PAN DE AZUCAR,9303.0,78
28 DE NOVIEMBRE,9407.0,78
LOS MANANTIALES,9313.0,78
LOS ANTIGUOS,9041.0,78
LEANDRO NICEFORO ALEM,9017.0,78
LAS PIRAMIDES,9017.0,78
LAS MERCEDES,9303.0,78
LAS MASITAS,9017.0,78
LAS HORQUETAS,9400.0,78
LAS HERAS,9017.0,78
LAGUNA GRANDE,9303.0,78
LAGUNA COLORADA,9400.0,78
LOS PERALES,9017.0,78
LAGO TAR,9301.0,78
LAGO SAN MARTIN,9301.0,78
LAGO ROCA,9405.0,78
LAGO PUEYRREDON,9310.0,78
LAGO CARDIEL,9301.0,78
LAGO BUENOS AIRES,9040.0,78
LAGO BUENOS AIRES,9017.0,78
LAGO ARGENTINO,9405.0,78
LA VIOLETA,9051.0,78
LA VICTORIA,9051.0,78
LA ROSADA,9051.0,78
LAGO STROBEL,9311.0,78
LA ROSA,9015.0,78
MATA MAGALLANES,9017.0,78
MESETA GUENGUE,9017.0,78
PERITO MORENO,9040.0,78
PENINSULA MAIPU,9301.0,78
PELLEGRINI,9017.0,78
PASO ROBALLO,9315.0,78
PASO RIO LA LEONA,9301.0,78
PASO IBAÑEZ,9303.0,78
PASO GREGORES,9050.0,78
PASO DEL RIO SANTA CRUZ,9303.0,78
PASO DEL MEDIO,9400.0,78
PASO DEL AGUILA,9311.0,78
MAZAREDO,9051.0,78
PASO DE LOS INDIOS,9303.0,78
PAMPA VERDUM,9017.0,78
PALI AIKE,9400.0,78
PALERMO AIKE,9400.0,78
NACIMIENTOS DEL PLUMA,9040.0,78
MORRO CHICO,9407.0,78
MONTE VERDE,9019.0,78
MONTE CEBALLOS,9040.0,78
MONTE AYMOND,9400.0,78
MINERALES,9015.0,78
MINA 3,9407.0,78
PASO CHARLES FHUR,9405.0,78
LA PROTEGIDA,9051.0,78
LA PORTEÑA,9303.0,78
LA PIGMEA,9303.0,78
HOTEL LAS HORQUETAS,9315.0,78
H YRIGOYEN LAGO POSADAS,9315.0,78
GUARDAPARQUE FITZ ROY,9301.0,78
GOBERNADOR MOYANO,9050.0,78
GOBERNADOR MAYER,9401.0,78
GOBERNADOR GREGORES,9311.0,78
GLENCROSS,9407.0,78
GAYPON,9407.0,78
GARMINUE,9303.0,78
FUENTES DE COYLE,9401.0,78
INDIA MUERTA,9017.0,78
FORTALEZA,9401.0,78
FITZ ROY,9019.0,78
FARO CAMPANA,9313.0,78
FARO CABO GUARDIAN,9313.0,78
ESTACION ING ATILIO CAPPA,9400.0,78
EL ZURDO,9401.0,78
EL TURBIO,9407.0,78
EL SALADO,9313.0,78
EL PORTEZUELO,9040.0,78
EL POLVORIN,9051.0,78
EL PLUMA,9017.0,78
FLORADORA,9053.0,78
INGENIERO ATILIO CAPPA,9400.0,78
INGENIERO PALLAVICINI,9040.0,78
JARAMILLO,9053.0,78
LA PENINSULA,9311.0,78
LA MARIA,9017.0,78
LA MARGARITA,9051.0,78
LA MANCHURIA,9311.0,78
LA MADRUGADA,9051.0,78
LA JULIA,9303.0,78
LA GUARDIA,9015.0,78
LA FLORIDA,9301.0,78
LA FEDERICA,9301.0,78
LA FECUNDIDAD,9051.0,78
LA ESTHER,9011.0,78
