localidad,cp,id_prov_mstr
SAN CARLOS NORTE,3009.0,82
SAN GENARO,2146.0,82
SAN GERONIMO,2136.0,82
SAN FRANCISCO DE SANTA FE,2601.0,82
SAN FABIAN,2242.0,82
SAN EUGENIO,2253.0,82
SAN ESTANISLAO,2501.0,82
SAN EDUARDO,2615.0,82
SAN CRISTOBAL,3070.0,82
SAN CARLOS SUD,3013.0,82
SAN GENARO NORTE,2147.0,82
SAN CARLOS CENTRO,3013.0,82
RUNCIMAN,2611.0,82
SAN BERNARDO,3061.0,82
SAN BERNARDO,3048.0,82
SAN ANTONIO DE OBLIGADO,3587.0,82
SAN ALBERTO,3565.0,82
SAN AGUSTIN,3017.0,82
SALTO GRANDE,2142.0,82
SALADERO M CABAL,3001.0,82
SAGUIER,2301.0,82
SA PEREYRA,3011.0,82
RUINAS SANTA FE LA VIEJA,3001.0,82
RUFINO,6100.0,82
RUEDA,2921.0,82
SAN GREGORIO,2613.0,82
SAN CARLOS,6106.0,82
SAN GUILLERMO,2347.0,82
SAN PEDRO SUR,3014.0,82
SAN GUILLERMO,3020.0,82
SAN VICENTE,2447.0,82
SAN URBANO,2728.0,82
SAN SEBASTIAN,2121.0,82
SAN ROQUE,3553.0,82
SAN RICARDO,2501.0,82
ROSARIO,2000.0,82
SAN PEDRO NORTE,3021.0,82
SAN PEDRO,3021.0,82
SAN MIGUEL,2309.0,82
SAN MARTIN NORTE,3045.0,82
SAN MARTIN DE TOURS,2255.0,82
SAN MARTIN DE LAS ESCOBAS,2449.0,82
SAN MARIANO,3011.0,82
SAN MARCOS DE VENADO TUERTO,2600.0,82
SAN MARCELO,6009.0,82
SAN LORENZO,2200.0,82
SAN JUSTO,3040.0,82
SAN JOSE FRONTERA,2401.0,82
SAN JOSE DEL RINCON,3001.0,82
SAN JOSE DE LA ESQUINA,2185.0,82
SAN JOSE,3016.0,82
SAN JORGE,2451.0,82
SAN JOAQUIN,3001.0,82
SAN JERONIMO SUD,2136.0,82
SAN JERONIMO NORTE,3011.0,82
SAN JERONIMO DEL SAUCE,3009.0,82
SAN JAVIER,3005.0,82
SAN GUILLERMO,2512.0,82
ROMANG,3555.0,82
PUJATO NORTE,3080.0,82
RODOLFO ALCORTA,2115.0,82
PUERTO ARAGON,2246.0,82
PUENTE COLASTINE,2242.0,82
PUEBLO TERRAGNI,2300.0,82
PUEBLO SAN ANTONIO,2301.0,82
PUEBLO NUEVO,2124.0,82
PUEBLO MUÑOZ,2119.0,82
PUEBLO MARIA JUANA,2445.0,82
PUEBLO KIRSTON,2202.0,82
PUEBLO GOLONDRINA,3551.0,82
PUEBLO ESTHER,2126.0,82
PUEBLO CANDIOTI,3000.0,82
PUEBLO AREQUITO,2183.0,82
PUERTO DE SAN LORENZO,2200.0,82
PUEBLO ABC,3080.0,82
PROGRESO,3023.0,82
PRESIDENTE ROCA,2301.0,82
POZO DE LOS INDIOS,3551.0,82
POTRERO GUASUNCHO,3589.0,82
PORTUGALETE,3071.0,82
PORTALIS,3066.0,82
POMPEYA,3014.0,82
PLAZA CLUCELLAS,2407.0,82
PIQUETE,3000.0,82
PINO DE SAN LORENZO,2200.0,82
PIÑERO,2119.0,82
SAN VICENTE,3580.0,82
PROVIDENCIA,3025.0,82
PUERTO GABOTO,2208.0,82
PUERTO GRAL SAN MARTIN,2202.0,82
PUERTO OCAMPO,3580.0,82
RIVADAVIA,3081.0,82
RIO SALADO,3036.0,82
RINCON POTREROS,3001.0,82
RINCON NORTE,3001.0,82
RINCON DEL QUEBRACHO,3025.0,82
RINCON DEL PINTADO,3080.0,82
RINCON DE TACURALES,2317.0,82
RINCON DE SAN ANTONIO,3046.0,82
RINCON DE GRONDONA,2206.0,82
RINCON DE AVILA,3023.0,82
RIGBY,2255.0,82
RICARDONE,2201.0,82
REYNALDO CULLEN,3020.0,82
REINA MARGARITA,2309.0,82
RECREO SUR,3001.0,82
RECREO,3018.0,82
RECONQUISTA,3560.0,82
RASTREADOR FOURNIER,2605.0,82
RAQUEL,2322.0,82
RAMONA,2301.0,82
RAMAYON,3042.0,82
RAFAELA,2300.0,82
RABIOLA,2600.0,82
PUJATO,2123.0,82
PUERTO RECONQUISTA,3567.0,82
PUERTO PIRACUACITO,3592.0,82
PUERTO PIRACUA,3516.0,82
ROLDAN,2134.0,82
POZO BORRADO,3061.0,82
VILLA SARALEGUI,3046.0,82
SANFORD,2173.0,82
VILLA LA RIBERA,2500.0,82
VILLA GUILLERMINA,3589.0,82
VILLA GUASTALLA,2148.0,82
VILLA GOBERNADOR GALVEZ,2124.0,82
VILLA GARIBALDI,2156.0,82
VILLA FREDRICKSON,2630.0,82
VILLA ESTELA,2726.0,82
VILLA ELOISA,2503.0,82
VILLA DON BOSCO,3000.0,82
VILLA DIVISA DE MAYO,2631.0,82
VILLA CONSTITUCION,2919.0,82
VILLA CASSINI,2154.0,82
VILLA LASTENIA,3042.0,82
VILLA CAÑAS,2607.0,82
VILLA ANA,3583.0,82
VILLA AMERICA,2121.0,82
VILLA AMELIA,2101.0,82
VILLA ADELA,3581.0,82
VILA,2301.0,82
VIDELA,3048.0,82
VICTOR MANUEL SEGUNDO,3563.0,82
VICENTE ECHEVARRIA,2142.0,82
VERA Y PINTADO,3054.0,82
VERA MUJICA,3040.0,82
VERA,3550.0,82
VENADO TUERTO,2600.0,82
VILLA BIOTA,2147.0,82
VILLA LUJAN,3016.0,82
VILLA LYLY TALLERES,2121.0,82
VILLA MARGARITA,2156.0,82
ZENON PEREYRA,2409.0,82
ZAVALLA,2123.0,82
ZANETTI,2301.0,82
ZAMPONI,2105.0,82
ZADOCKHAN,2326.0,82
YAMANDU,3014.0,82
YAGUARETE,3586.0,82
WILDERMUTH,2257.0,82
WHEELWRIGHT,2722.0,82
WALVELBERG,2313.0,82
VUELTA DEL PIRATA,3001.0,82
VIRGINIA,2311.0,82
VILLANI,2400.0,82
VILLADA,2173.0,82
VILLA YAPEYU,3000.0,82
VILLA VIVEROS,3001.0,82
VILLA TRINIDAD,2345.0,82
PILAR,3085.0,82
VILLA SAN JOSE,2301.0,82
VILLA SAN DIEGO,2124.0,82
VILLA ROSELLO,6100.0,82
VILLA REGULES,2630.0,82
VILLA PORUCCI,2123.0,82
VILLA OCAMPO,3580.0,82
VILLA MUGUETA,2175.0,82
VILLA MINETTI,3061.0,82
VILLA MARIA SELVA,3000.0,82
VELAZQUEZ,3550.0,82
VEINTICUATRO CASAS,2313.0,82
URANGA,2105.0,82
TTE HIPOLITO BOUCHARD,2156.0,82
SEMINO,2138.0,82
SCHIFFNER,2451.0,82
SAUCE VIEJO,3017.0,82
SASTRE,2440.0,82
SARMIENTO,3023.0,82
SARGENTO CABRAL,2105.0,82
SANTURCE,3074.0,82
SANTO TOME,3016.0,82
SANTO DOMINGO,3025.0,82
SANTA TERESA,6106.0,82
SANTA TERESA,2111.0,82
SANTA ROSA DE CALCHINES,3001.0,82
SANTA PAULA,6106.0,82
SANTA NATALIA,2639.0,82
SANTA MARIA NORTE,3011.0,82
SANTA MARIA CENTRO,3011.0,82
SANTA MARGARITA,3061.0,82
SANTA LUCIA,3553.0,82
SANTA ISABEL,2605.0,82
SANTA FELICIA,3551.0,82
SANTA FE,3000.0,82
SANTA EUSEBIA,2317.0,82
SANTA EMILIA,2725.0,82
SANTA CLARA DE SAGUIER,2405.0,82
SANTA CLARA DE BUENA VISTA,2258.0,82
SANTA CLARA,2258.0,82
SANTA ANA,3575.0,82
SERODINO,2216.0,82
SANCTI SPIRITU,2617.0,82
SETUBAL,3014.0,82
SIN PEREZA,3060.0,82
TRES POZOS,3061.0,82
TRES ESQUINAS,2921.0,82
TRES COLONIAS,2300.0,82
TRES BOCAS,3560.0,82
TRAILL,2456.0,82
TOTORAS,2144.0,82
TOSTADO,3060.0,82
TORTUGAS,2512.0,82
TOMAS ALVA EDISON,3023.0,82
TOBA,3551.0,82
TIMBUES,2204.0,82
THEOBALD,2918.0,82
TEODELINA,6009.0,82
TARTAGAL,3565.0,82
TARRAGONA,6103.0,82
TALLERES,2121.0,82
TAIS,2535.0,82
TACURAL,2324.0,82
TACUARENDI,3587.0,82
SUSANA,2301.0,82
SUNCHALES,2322.0,82
SUARDI,2349.0,82
STEPHENSON,2103.0,82
SOUTOMAYOR,3025.0,82
SOLEDAD,3025.0,82
SOLDINI,2107.0,82
SOL DE MAYO,3048.0,82
SIERRA PEREYRA,2300.0,82
PIAMONTE,2529.0,82
LAS GARZAS,3574.0,82
PETRONILA,3046.0,82
EL AMARGO,3060.0,82
EL ALBERDON,6106.0,82
EL AGUARA,3070.0,82
EL 44,3550.0,82
EL 38,3550.0,82
EGUSQUIZA,2301.0,82
DURHAM,2631.0,82
DOCE CASAS,2313.0,82
DISTRITO 3 ISLETAS,3575.0,82
DIEGO DE ALVEAR,6036.0,82
DIAZ,2222.0,82
EL ARAZA,3563.0,82
DHO,3070.0,82
DESVIO KILOMETRO 282,3551.0,82
