localidad,cp,id_prov_mstr
SANTA BARBARA,4208.0,86
SANTA CATALINA,3064.0,86
SANTA BRIGIDA,5257.0,86
SANTA BRIGIDA,4321.0,86
SANTA BARBARA FERREIRA,4208.0,86
SANTA ANA,5251.0,86
SAN CARLOS,3749.0,86
SANTA ANA,4205.0,86
SANTA ANA,3760.0,86
SANTA ANA,2354.0,86
SANTA CATALINA,4203.0,86
SANSIOJ,4197.0,86
SANTA ANA,5250.0,86
SANTA CRUZ,4197.0,86
SANTA ELENA,5255.0,86
SANTA CRUZ,4301.0,86
SANTA CRUZ,4302.0,86
SANTA CRUZ,4322.0,86
SANTA ELENA,3741.0,86
SANTA ELENA,5250.0,86
SANDIA HUAJCHU,4208.0,86
SANTA FELISA,4197.0,86
SANTA INES,4308.0,86
SANTA ISABEL,4208.0,86
SANTA ISABEL,4315.0,86
SANTA JUSTINA,3740.0,86
SANTA LUCIA,4233.0,86
SANTA LUCIA,4319.0,86
SANTA LUCIA,4353.0,86
SANTA CRUZ,4301.0,86
SANAVIRONES,3064.0,86
SAN VICENTE,4206.0,86
SAN VICENTE,4322.0,86
SAN RAMON,4205.0,86
SAN RAMON,4238.0,86
SAN RAMON,4301.0,86
SAN RAMON,4302.0,86
SAN RAMON,4322.0,86
SAN RAMON,4328.0,86
SAN RAMON,4339.0,86
SAN RAMON,4350.0,86
SAN RAMON,4353.0,86
SAN RAMON,5255.0,86
SAN RAMON QUEBRACHOS,5255.0,86
SAN CARLOS,4201.0,86
SAN ROMANO,4233.0,86
SAN ROQUE,4205.0,86
SAN ROQUE,4301.0,86
SAN ROQUE,4302.0,86
SAN ROQUE,4322.0,86
SAN ROQUE,4326.0,86
SAN ROQUE,4353.0,86
SAN RUFINO,2356.0,86
SAN SALVADOR,4308.0,86
SAN SALVADOR,4354.0,86
SAN SEBASTIAN,2354.0,86
SAN SEBASTIAN,4206.0,86
SAN SIMON,4350.0,86
SANTA MARIA,3712.0,86
SAN VICENTE,4212.0,86
SAN VICENTE,4301.0,86
SAN VICENTE,4301.0,86
SAN VICENTE,4354.0,86
SANTA MARIA,4201.0,86
SANTA MARIA,4353.0,86
SANTA MARIA,4208.0,86
SAN ALBERTO,3741.0,86
SAN AGUSTIN,4206.0,86
SAN AGUSTIN,4205.0,86
SAN AGUSTIN,2356.0,86
SALVIAIOJ GAITAN,4328.0,86
SALINAS,5250.0,86
SALINAS,4317.0,86
SALDIVAR,3740.0,86
SALADILLO,4319.0,86
SALADILLO,4304.0,86
SALADILLO,4301.0,86
SALADILLO,3745.0,86
SAINQUEN PUNCO,4322.0,86
SACHAYOJ,3731.0,86
SABAGASTA,4319.0,86
RUTA PROVINCIAL 8,4326.0,86
RUTA PROVINCIAL 5,4326.0,86
RUTA PROVINCIAL 40,4326.0,86
RUTA PROVINCIAL 17,4326.0,86
RUTA PROVINCIAL 130,4326.0,86
RUTA PROVINCIAL 11,4326.0,86
RUTA NACIONAL 34,4326.0,86
RUMIOS,4338.0,86
RUMIARCO,4415.0,86
RUMI JACO,5257.0,86
RUMI JACO,4321.0,86
RUMI HUASI,5251.0,86
RUMI ESQUINA,4234.0,86
RUMI,4353.0,86
SAN ANDRES,4206.0,86
SAN ANDRES,4302.0,86
SAN ANDRES,5250.0,86
SAN ANDRES,5255.0,86
SANTA MARIA,4317.0,86
SANTA MARIA,4321.0,86
SANTA MARIA,4350.0,86
SAN PEDRO KILOMETRO 49,5258.0,86
SANTA MARIA,4353.0,86
SANTA MARIA,5251.0,86
SANTA MARIA,5257.0,86
SANTA MARIA DE LAS CHACRAS,4189.0,86
SANTA MARIA DTO FIGUEROA,4354.0,86
SANTA PAULA,2356.0,86
SANTA RITA,4301.0,86
SANTA RITA,4302.0,86
SANTA RITA,4322.0,86
SANTA RITA,4353.0,86
SANTA MARIA,4206.0,86
SANTA ROSA,3749.0,86
SAN BENITO,4206.0,86
SAN BENITO,4205.0,86
SAN ANTONIO DE LOS CACERES,4317.0,86
SAN ANTONIO DE LOS CACERES,4201.0,86
