localidad,cp,id_prov_mstr
ESTANCIA DOS HEMANAS,9420.0,94
ESTANCIA CARMEN,9420.0,94
ESTANCIA CAUCHICO,9420.0,94
ESTANCIA COSTANCIA,9420.0,94
ESTANCIA CULLEN,9420.0,94
ESTANCIA DESPEDIDA,9420.0,94
ESTANCIA AURELIA,9420.0,94
ESTANCIA BUENOS AIRES,9420.0,94
ESTANCIA EL ROBLE,9420.0,94
ESTANCIA JOSE MENENDEZ,9420.0,94
ESTANCIA EL SALVADOR,9420.0,94
ESTANCIA GUAZU CUE,9420.0,94
ESTANCIA HARBERTON,9410.0,94
ESTANCIA HERMINITA,9420.0,94
ESTANCIA INES,9420.0,94
ESTANCIA LA CRIOLLA,9420.0,94
ESTANCIA LA FUEGUINA,9420.0,94
ESTACION OSN,9420.0,94
ESTANCIA LA INDIANA,9420.0,94
ESTANCIA EL RODEO,9420.0,94
ESTACION CIENTIFICA ALTE BROWN,9411.0,94
BASE AEREA VICECOMOD MARAMBIO,9411.0,94
EL PARAMO,9420.0,94
ESTANCIA LA PORTEÑA,9420.0,94
ASERRADERO ARROYO,9420.0,94
BAHIA LAPATAIA,9410.0,94
BASE AEREA TENIENTE MATIENZO,9411.0,94
BASE BELGRANO,9411.0,94
BASE BELGRANO 2,9411.0,94
BASE BELGRANO 3,9411.0,94
BASE CIENTIFICA TTE JUBANY,9411.0,94
BASE EJERCITO ESPERANZA,9411.0,94
BASE EJERCITO GRAL SAN MARTIN,9411.0,94
BASE EJERCITO PRIMAVERA,9411.0,94
BASE EJERCITO SOBRAL,9411.0,94
BASE ORCADAS,9411.0,94
CABAÑA RUBY,9420.0,94
CABO SAN PABLO,9420.0,94
CAMPAMENTO CENTRAL YPF,9420.0,94
CAMPAMENTO LOS CHORRILLOS,9420.0,94
COMISARIA RADMAN,9420.0,94
DESTACAMENTO MELCHIOR,9411.0,94
ESTACION AERONAVAL,9411.0,94
ESTANCIA LAS HIJAS,9420.0,94
MISION SALESIANA MÑOR FAGNANO,9420.0,94
ESTANCIA LAURA,9420.0,94
ESTANCIA VIAMONTE,9420.0,94
FRIGORIFICO CAP,9421.0,94
HOSTERIA KAIKEN,9410.0,94
ISLA DE LOS ESTADOS,9410.0,94
ISLA GRAN MALVINA,9409.0,94
ISLA JOINVILLE,9411.0,94
ISLA SHETLAND DEL SUR,9411.0,94
ISLA SOLEDAD,9409.0,94
ISLAS GEORGIAS DEL SUR,9411.0,94
ISLAS ORCADAS DEL SUR,9411.0,94
ISLAS SANDWICH DEL SUR,9411.0,94
LAGO KHAMI,9420.0,94
PUNTA MARIA,9420.0,94
RIO GRANDE,9420.0,94
SAN SEBASTIAN,9420.0,94
SANTA INES,9420.0,94
SECCION AVILES  ESTANCIA SAN J,9420.0,94
TOLHUIN,9420.0,94
USHUAIA,9410.0,94
ESTANCIA TEPI,9420.0,94
ESTANCIA SARA,9420.0,94
ESTANCIA SANTA ANA,9420.0,94
ESTANCIA SAN PABLO,9420.0,94
ESTANCIA LIBERTAD,9420.0,94
ESTANCIA LOS FLAMENCOS,9420.0,94
ESTANCIA MARIA BEHETY,9420.0,94
ESTANCIA MARIA CRISTINA,9420.0,94
ESTANCIA MARIA LUISA,9420.0,94
ESTANCIA MARINA,9420.0,94
ESTANCIA MIRAMONTE,9420.0,94
ESTANCIA PIRINAICA,9420.0,94
ESTANCIA POLICARPO,9420.0,94
ESTANCIA LAS VIOLETAS,9420.0,94
ESTANCIA RIO CLARO,9420.0,94
ESTANCIA RIO IRIGOYEN,9420.0,94
ESTANCIA RIVADAVIA,9420.0,94
ESTANCIA ROLITO,9420.0,94
ESTANCIA ROSITA,9420.0,94
ESTANCIA RUBY,9420.0,94
ESTANCIA SAN JOSE,9420.0,94
ESTANCIA SAN JULIO,9420.0,94
ESTANCIA SAN JUSTO,9420.0,94
ESTANCIA SAN MARTIN,9420.0,94
ESTANCIA RIO EWAN,9420.0,94
ESTANCIA LOS CERROS,9420.0,94
Total de localidades:,91
