localidad,cp,id_prov_mstr
MANUELA PEDRAZA,4166.0,90
MANANTIALES,4124.0,90
MARIA BLANCA,4157.0,90
MANUEL GARCIA FERNANDEZ,4166.0,90
MANCOPA CHICO,4115.0,90
MARIA ELENA,4168.0,90
MANCOPA,4115.0,90
MANCHALA,4166.0,90
MARAPA,4158.0,90
MANANTIAL DE OVANTA,4105.0,90
MACHO HUAÑUSCA,4137.0,90
MALVINAS,4129.0,90
MAL PASO,4157.0,90
MACOMITA,4117.0,90
MACIO,4172.0,90
LUJAN,4187.0,90
LUZ Y FUERZA,4103.0,90
LUNAREJOS,4113.0,90
LUISIANA ESTACION FCGM,4117.0,90
MARIA LUISA,4174.0,90
LUJAN,4117.0,90
LULES,4128.0,90
MANAGUA,4141.0,90
MARIÑO,4117.0,90
MISKY,4105.0,90
MASCIO PILCO,4172.0,90
MOLLE POZO,4168.0,90
MOLLE YACO,4137.0,90
MOLLES,4242.0,90
LUIS PASTEUR,4178.0,90
MOLLE DE ABAJO,4137.0,90
MOLLE CHATO,4119.0,90
MOLINOS,4151.0,90
MOJON,4115.0,90
MIXTA,4115.0,90
MISTOL,4162.0,90
MOLLE YACO,4124.0,90
MARTA,4178.0,90
MIRANDA,4124.0,90
MIGUEL LILLO,4113.0,90
MESADA DE ENCIMA,4137.0,90
MERCEDES,4152.0,90
MERCEDES,4128.0,90
MEMBRILLO,4146.0,90
MEDINAS,4151.0,90
MEDINA,4101.0,90
MAYO,4182.0,90
MATUL,4101.0,90
MATO YACO,4122.0,90
MASCIO SUR,4172.0,90
MIMILTO,4124.0,90
LOVAR,4174.0,90
LOS POCITOS,4137.0,90
LOS ZAZOS,4137.0,90
LOS RALOS,4182.0,90
LOS QUEMADOS,4113.0,90
LOS PUESTOS,4124.0,90
LOS PUESTOS,4115.0,90
LOS PORCELES,4111.0,90
LOS POCITOS,4168.0,90
LOS POCITOS,4101.0,90
LOS PLANCHONES,4105.0,90
LOS PIZARRO,4162.0,90
LOS PINOS B,4000.0,90
LOS PEREZ,4174.0,90
LOS REYES,4143.0,90
LOS PEREZ,4117.0,90
LOS PEDRAZA,4119.0,90
LOS PARAISOS,4176.0,90
LOS PANCHILLOS,4176.0,90
LOS OCHO CUARTOS,4152.0,90
LOS NOGALES,4101.0,90
LOS MOYES,4143.0,90
LOS MOLLES,4242.0,90
MONASTERIO,4103.0,90
LOS LUNAS,4155.0,90
LOS MISTOLES,4162.0,90
LOS MENDOZAS,4174.0,90
LOS PEREYRA,4178.0,90
LOS RIOS,4157.0,90
LOS RIZOS,4157.0,90
LOS ROBLES,4142.0,90
LOS ZARAGOZA,4103.0,90
LOS VILLEGAS,4115.0,90
LOS VILLAGRA,4178.0,90
LOS VILLAGRA,4111.0,90
LOS VEGA,4146.0,90
LOS VAZQUEZ,4105.0,90
LOS VALLISTOS,4109.0,90
LOS VALDES,4168.0,90
LOS TRES BAJOS,4161.0,90
LOS TREJOS,4174.0,90
LOS TIMBRES,4147.0,90
LOS TIMBOS,4101.0,90
LOS SUELDOS,4111.0,90
LOS SOTELO,4176.0,90
LOS SOSAS,4142.0,90
LOS SORAIRE,4176.0,90
LOS SIFONES,4132.0,90
LOS SAUCES,4176.0,90
LOS SAUCES,4176.0,90
LOS SARMIENTOS,4157.0,90
LOS SARACHO,4176.0,90
LOS RUIZ,4176.0,90
LOS ROMANOS,4113.0,90
LOS ROJOS,4143.0,90
LOS RODRIGUEZ,4135.0,90
LOS ZELAYAS,4115.0,90
MONTE BELLO,4115.0,90
PARAISO,4117.0,90
MONTE BELLO,4157.0,90
PEÑA OVERA,4137.0,90
PASO GRANDE,4176.0,90
PASO DE LOS NIEVAS,4176.0,90
PASO DE LAS LANZAS,4119.0,90
PASO DE LA PATRIA,4187.0,90
PARADA DE OHUANTA,4105.0,90
PANTANILLO,4124.0,90
PAMPA ROSA,4176.0,90
PAMPA POZO,4242.0,90
PAMPA MUYO,4176.0,90
PAMPA MAYO NOROESTE,4172.0,90
PEÑA PICAZA,4137.0,90
PAMPA MAYO,4172.0,90
PALOS QUEMADOS,4176.0,90
PALOMITAS,4119.0,90
PALOMINOS,4174.0,90
PALOMAS,4174.0,90
PALO SECO,4176.0,90
PALO GACHO,4137.0,90
PALO BLANCO,4161.0,90
PALMITAS,4115.0,90
PALMAS REDONDAS,4178.0,90
PALA PALA,4111.0,90
PAJA COLORADA,4187.0,90
PAMPA LARGA,4159.0,90
PAJA BLANCA,4168.0,90
PEREYRA NORTE,4178.0,90
PERUCHO,4124.0,90
POSSE DESVIO PARTICULAR FCGM,4115.0,90
PORVENIR,4178.0,90
LOS LESCANOS,4174.0,90
PORTEZUELO DE TOMAS,4137.0,90
PORTEZUELO DE LAS ANIMAS,4137.0,90
PORTEZUELO,4124.0,90
PORTEZUELO,4117.0,90
PONZACON,4162.0,90
POLITO,4111.0,90
POLIAR,4174.0,90
PLAYA LARGA,4142.0,90
PEREYRA SUR,4178.0,90
PLANTA DE BOMBEO DE YPF,4168.0,90
PIRHUAS,4115.0,90
PINGOLLAR,4124.0,90
PILCO,4142.0,90
PIEDRAS COLORADAS,4142.0,90
PIEDRAS BLANCAS,4137.0,90
PIEDRA TENDIDA,4119.0,90
PIEDRA GRANDE,4146.0,90
PIEDRA BLANCA,4119.0,90
PIE DEL ACONQUIJA,4107.0,90
PIE DE LA CUESTA,4124.0,90
PICHAO,4141.0,90
PLANTA COMPRESORA YPF,4174.0,90
PAEZ,4242.0,90
PADILLA,4133.0,90
PACARA PINTADO,4119.0,90
NASCHE,4152.0,90
NARANJO ESQUINA,4158.0,90
NARANJITO,4115.0,90
MUYO,4146.0,90
MUNDO NUEVO,4105.0,90
MULTIFLORES,4152.0,90
MUJER MUERTA,4178.0,90
MOYAR,4115.0,90
MOYA,4117.0,90
MOTHE,4172.0,90
MORON,4242.0,90
NEGRO POTRERO,4135.0,90
MORAS MINUCAS,4152.0,90
MONTEROS VIEJO,4142.0,90
MONTEROS,4142.0,90
MONTEAGUDO,4174.0,90
MONTE RICO,4152.0,90
MONTE REDONDO,4162.0,90
MONTE REDONDO,4152.0,90
MONTE REDOMON,4162.0,90
MONTE LARGO,4117.0,90
MONTE GRANDE,4162.0,90
MONTE GRANDE,4133.0,90
MONTE CRISTO,4187.0,90
MONTUOSO,4242.0,90
NIO EL PUESTITO,4119.0,90
NIO VILLA PADRE MONTI,4101.0,90
NIOGASTA,4174.0,90
PACARA PINTADO,4111.0,90
PACARA MARCADO,4119.0,90
PACARA,4119.0,90
PACARA,4111.0,90
P G MENDEZ,4117.0,90
OVERO POZO,4178.0,90
OVEJERIA,4124.0,90
ORAN,4142.0,90
ORAN,4115.0,90
OJO DE AGUA,4107.0,90
OJO,4101.0,90
OBRAJE,4129.0,90
NUEVOS MATADEROS,4109.0,90
NUEVO PUEBLO LA FLORIDA,4117.0,90
NUEVA TRINIDAD,4157.0,90
NUEVA ROSA,4101.0,90
NUEVA ESQUINA,4161.0,90
NUEVA ESPERANZA,4103.0,90
NUEVA ESPAÑA,4113.0,90
NUEVA BAVIERA,4132.0,90
ÑOREO,4122.0,90
ÑORCO,4122.0,90
NOGALITO,4101.0,90
NOGALITA,4137.0,90
NOARIO,4113.0,90
MONTE BELLO,4124.0,90
LOS JUAREZ,4113.0,90
LA VIÑITA,4137.0,90
LOS HERRERAS,4113.0,90
LAS ANIMAS,4176.0,90
LAS ANIMAS,4149.0,90
LAS ACOSTILLAS,4113.0,90
LAS ABRAS,4187.0,90
LARA,4137.0,90
LAPACHITOS,4186.0,90
LAMPARCITO,4137.0,90
LAMADRID,4176.0,90
LAGUNA LARGA,4176.0,90
LAGUNA GRANDE,4103.0,90
LAGUNA DE ROBLES,4119.0,90
LAS ARCAS,4124.0,90
LAGUNA BLANCA,4115.0,90
LACHICO,4242.0,90
LACAVERA,4103.0,90
LA ZANJA,4242.0,90
LA ZANJA,4242.0,90
LA VERDE,4119.0,90
LA UNION,4119.0,90
LA TUNA,4174.0,90
LA TUNA,4149.0,90
LA TUNA,4149.0,90
LA TRANCA,4137.0,90
LA TOMA,4119.0,90
LAGARTE,4174.0,90
LA TOMA,4103.0,90
LAS BANDERITAS,4132.0,90
LAS BOLSAS,4137.0,90
LAS HIGUERILLAS,4144.0,90
LAS GUCHAS LOS GUCHEA,4151.0,90
LAS FALDAS,4147.0,90
LAS ENCRUCIJADAS,4115.0,90
LAS CUEVAS,4146.0,90
LAS CUATRO ESQUINAS,4168.0,90
LAS CRIOLLAS,4122.0,90
LAS COLONIAS,4115.0,90
LAS COLAS,4195.0,90
LAS CIENAGAS,4135.0,90
LAS CHACRAS,4119.0,90
LAS BARRANCAS,4168.0,90
LAS CELAYAS,4115.0,90
LAS CEJAS,4172.0,90
LAS CEJAS,4162.0,90
LAS CARRERAS,4137.0,90
LAS CAÑITAS,4124.0,90
LAS CAÑITAS,4103.0,90
LAS CAÑITAS,4103.0,90
LAS CAÑAS,4141.0,90
LAS CAÑADAS,4113.0,90
LAS BURRAS,4124.0,90
LAS BRISAS,4242.0,90
LAS BOTIJAS,4124.0,90
LAS CEJAS,4186.0,90
